Country,City,Title,Activities_Type,Review_Count,Rating,Description,Address,Open,Close,Lat,Long,A_Type,Review_Rating
Thailand,Phuket,Bang Tao Beach,"Outdoor Activities, Nature & Parks, Beaches",809,4.5,NaN,"Bang Tao Beach, Phuket 83110, Thailand",NaN,NaN,8.0025463,98.2926317,"Active, Water Activities, Nature",3640.5
Thailand,"Phuket, Kathu, Patong",Freedom Beach,"Outdoor Activities, Nature & Parks, Beaches",3078,4.5,NaN,"Patong, Kathu, Phuket, Thailand",NaN,NaN,7.8965763,98.3021044,"Active, Water Activities, Nature",13851
Thailand,"Phuket, Phuket Town",Monkey Hill,"Nature & Parks, Nature & Wildlife Areas",892,4.5,NaN,"To Chae Road, Phuket Town, Phuket, Thailand",NaN,NaN,7.8972725,98.3981381,Nature,4014
Thailand,"Phuket, Kathu, Patong",Jungceylon,"Shopping, Shopping Malls",6264,4,The Epicenter of Voguish Trend Discover an unrivalled experience and hunt the latest trends of fashion treasures from over 300 world-renowned and iconic local brand labels. Elevate the ordinary lifestyle to superior with an array of chic...,"181, Rat-U-Thit 200 Pee Road, Patong, Kathu, Phuket 83150, Thailand",1100,2200,7.8910887,98.2998984,City,25056
Thailand,"Phuket, Kathu, Patong",Bangla Road,"Sights & Landmarks, Points of Interest & Landmarks",18040,4,NaN,"Soi Bangla, Patong, Kathu, Phuket 83150, Thailand",NaN,NaN,7.8935833,98.2968039,Attractions,72160
Thailand,Phuket,Soi Dog Foundation,"Nature & Parks, Nature & Wildlife Areas",941,5,"Soi Dog Foundation is S.E. Asia’s largest rescue organisation for vulnerable street dogs and stray cats. For 15 years, supported by generous donations and global volunteers, SDF has worked tirelessly to reduce animal suffering through CNVR (Capture...","167/9 Soi Mai Khao 10, Phuket 83110, Thailand",0900,1530,8.127863,98.3137932,Nature,4705
Thailand,"Phuket, Karon",Karon Beach,"Nature & Parks, Outdoor Activities, Beaches",6170,4,"As featured in <a href=""/Guide-g297930-k1023-Patong_Kathu_Phuket.html"" onclick=""undefined"">Best Beaches Around Patong</a></span>","Karon, Phuket, Thailand",NaN,NaN,7.8287744,98.3012857,"Active, Water Activities, Nature",24680
Thailand,"Phuket, Kathu, Patong",Patong Beach,"Outdoor Activities, Nature & Parks, Sights & Landmarks, Beaches, Points of Interest & Landmarks, ",14606,3.5,NaN,"Patong, Kathu, Phuket 83000, Thailand",NaN,NaN,7.8965763,98.3021044,"Food, Active, Nightlife, Water Activities, Nature, Cultural, Attractions",51121
Thailand,"Phuket, Phuket Town, Chalong",Big Buddha Phuket,"Sights & Landmarks, Sacred & Religious Sites, Points of Interest & Landmarks",14007,4.5,NaN,"Soi Yot Sane 1, Chaofa West Road, Chalong, Phuket Town, Phuket 83100, Thailand",0800,1930,7.832293,98.336766,"Cultural, Attractions",63031.5
Thailand,"Phuket, Karon, Kata Beach",Kata Beach,"Outdoor Activities, Nature & Parks, Beaches",7141,4,"As featured in <a href=""/Guide-g293920-k1016-Phuket.html"" onclick=""undefined"">3 Days in Phuket</a></span>","Pakbang Road, Kata Beach, Karon, Phuket 83100, Thailand",NaN,NaN,7.8203375,98.2981248,"Active, Water Activities, Nature",28564
