Category: All categories

Month,Banda Islands: (Worldwide)
2010-01,52
2010-02,65
2010-03,53
2010-04,71
2010-05,42
2010-06,76
2010-07,44
2010-08,64
2010-09,45
2010-10,50
2010-11,73
2010-12,15
2011-01,56
2011-02,100
2011-03,93
2011-04,46
2011-05,40
2011-06,34
2011-07,47
2011-08,39
2011-09,44
2011-10,45
2011-11,66
2011-12,53
2012-01,55
2012-02,59
2012-03,90
2012-04,66
2012-05,49
2012-06,62
2012-07,55
2012-08,47
2012-09,81
2012-10,83
2012-11,62
2012-12,36
2013-01,52
2013-02,50
2013-03,47
2013-04,41
2013-05,50
2013-06,28
2013-07,58
2013-08,55
2013-09,49
2013-10,78
2013-11,64
2013-12,44
2014-01,66
2014-02,55
2014-03,67
2014-04,59
2014-05,38
2014-06,46
2014-07,56
2014-08,49
2014-09,55
2014-10,55
2014-11,50
2014-12,51
2015-01,62
2015-02,39
2015-03,45
2015-04,65
2015-05,37
2015-06,46
2015-07,25
2015-08,48
2015-09,56
2015-10,61
2015-11,51
2015-12,47
2016-01,66
2016-02,44
2016-03,37
2016-04,53
2016-05,59
2016-06,40
2016-07,43
2016-08,40
2016-09,37
2016-10,44
2016-11,41
2016-12,40
2017-01,68
2017-02,49
2017-03,38
2017-04,58
2017-05,37
2017-06,44
2017-07,77
2017-08,70
2017-09,50
2017-10,94
2017-11,69
2017-12,66
2018-01,69
2018-02,48
2018-03,53
2018-04,55
2018-05,44
2018-06,32
2018-07,51
2018-08,51
2018-09,49
2018-10,39
2018-11,49
2018-12,50
2019-01,40
2019-02,35
2019-03,46
2019-04,27
2019-05,28
2019-06,38
2019-07,27
2019-08,39
2019-09,53
2019-10,62
