Category: All categories

Month,Borobudur: (Worldwide)
2010-01,43
2010-02,47
2010-03,43
2010-04,45
2010-05,47
2010-06,39
2010-07,46
2010-08,50
2010-09,41
2010-10,51
2010-11,55
2010-12,40
2011-01,47
2011-02,43
2011-03,53
2011-04,42
2011-05,49
2011-06,49
2011-07,45
2011-08,41
2011-09,47
2011-10,57
2011-11,53
2011-12,51
2012-01,59
2012-02,55
2012-03,54
2012-04,52
2012-05,58
2012-06,46
2012-07,48
2012-08,49
2012-09,59
2012-10,53
2012-11,58
2012-12,57
2013-01,59
2013-02,62
2013-03,66
2013-04,63
2013-05,84
2013-06,61
2013-07,61
2013-08,66
2013-09,73
2013-10,69
2013-11,78
2013-12,77
2014-01,77
2014-02,82
2014-03,71
2014-04,74
2014-05,88
2014-06,73
2014-07,63
2014-08,89
2014-09,92
2014-10,89
2014-11,88
2014-12,86
2015-01,85
2015-02,81
2015-03,83
2015-04,76
2015-05,81
2015-06,74
2015-07,63
2015-08,90
2015-09,87
2015-10,81
2015-11,86
2015-12,88
2016-01,81
2016-02,83
2016-03,84
2016-04,82
2016-05,100
2016-06,66
2016-07,83
2016-08,91
2016-09,88
2016-10,83
2016-11,90
2016-12,90
2017-01,84
2017-02,77
2017-03,80
2017-04,84
2017-05,82
2017-06,69
2017-07,86
2017-08,85
2017-09,93
2017-10,81
2017-11,86
2017-12,94
2018-01,90
2018-02,85
2018-03,84
2018-04,86
2018-05,74
2018-06,73
2018-07,77
2018-08,85
2018-09,81
2018-10,83
2018-11,99
2018-12,98
2019-01,86
2019-02,85
2019-03,83
2019-04,84
2019-05,76
2019-06,92
2019-07,88
2019-08,100
2019-09,86
2019-10,82
