Category: All categories

Month,Ijen Crater: (Worldwide)
2010-01,10
2010-02,11
2010-03,13
2010-04,14
2010-05,10
2010-06,14
2010-07,10
2010-08,37
2010-09,22
2010-10,25
2010-11,12
2010-12,17
2011-01,11
2011-02,13
2011-03,14
2011-04,23
2011-05,11
2011-06,17
2011-07,17
2011-08,19
2011-09,20
2011-10,6
2011-11,19
2011-12,13
2012-01,22
2012-02,12
2012-03,15
2012-04,20
2012-05,17
2012-06,16
2012-07,13
2012-08,23
2012-09,17
2012-10,27
2012-11,17
2012-12,18
2013-01,33
2013-02,19
2013-03,28
2013-04,31
2013-05,29
2013-06,24
2013-07,25
2013-08,26
2013-09,27
2013-10,27
2013-11,36
2013-12,26
2014-01,37
2014-02,28
2014-03,24
2014-04,43
2014-05,100
2014-06,49
2014-07,46
2014-08,67
2014-09,36
2014-10,40
2014-11,39
2014-12,40
2015-01,42
2015-02,50
2015-03,32
2015-04,43
2015-05,47
2015-06,80
2015-07,70
2015-08,74
2015-09,65
2015-10,52
2015-11,37
2015-12,48
2016-01,63
2016-02,37
2016-03,67
2016-04,53
2016-05,82
2016-06,95
2016-07,66
2016-08,75
2016-09,77
2016-10,68
2016-11,71
2016-12,68
2017-01,57
2017-02,41
2017-03,68
2017-04,67
2017-05,71
2017-06,88
2017-07,93
2017-08,80
2017-09,88
2017-10,69
2017-11,67
2017-12,62
2018-01,44
2018-02,63
2018-03,66
2018-04,65
2018-05,56
2018-06,51
2018-07,89
2018-08,83
2018-09,54
2018-10,53
2018-11,47
2018-12,37
2019-01,40
2019-02,55
2019-03,50
2019-04,56
2019-05,37
2019-06,41
2019-07,45
2019-08,61
2019-09,56
2019-10,51
