Category: All categories

Month,Jatiluwih Rice Fields: (Worldwide)
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,43
2010-11,0
2010-12,43
2011-01,0
2011-02,42
2011-03,38
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,73
2011-09,53
2011-10,67
2011-11,0
2011-12,33
2012-01,0
2012-02,31
2012-03,0
2012-04,31
2012-05,29
2012-06,45
2012-07,0
2012-08,29
2012-09,0
2012-10,0
2012-11,54
2012-12,67
2013-01,0
2013-02,0
2013-03,24
2013-04,36
2013-05,47
2013-06,24
2013-07,24
2013-08,72
2013-09,0
2013-10,22
2013-11,0
2013-12,0
2014-01,21
2014-02,0
2014-03,41
2014-04,32
2014-05,21
2014-06,24
2014-07,23
2014-08,46
2014-09,44
2014-10,21
2014-11,0
2014-12,21
2015-01,30
2015-02,22
2015-03,20
2015-04,20
2015-05,39
2015-06,30
2015-07,49
2015-08,68
2015-09,19
2015-10,36
2015-11,28
2015-12,28
2016-01,38
2016-02,20
2016-03,0
2016-04,19
2016-05,38
2016-06,39
2016-07,40
2016-08,61
2016-09,100
2016-10,38
2016-11,47
2016-12,93
2017-01,53
2017-02,19
2017-03,51
2017-04,55
2017-05,54
2017-06,38
2017-07,56
2017-08,27
2017-09,36
2017-10,17
2017-11,26
2017-12,36
2018-01,0
2018-02,18
2018-03,25
2018-04,17
2018-05,33
2018-06,51
2018-07,17
2018-08,49
2018-09,42
2018-10,24
2018-11,17
2018-12,34
2019-01,0
2019-02,17
2019-03,32
2019-04,17
2019-05,32
2019-06,25
2019-07,48
2019-08,16
2019-09,16
2019-10,98
