Category: All categories

Month,Kalimantan: (Worldwide)
2010-01,13
2010-02,17
2010-03,15
2010-04,16
2010-05,16
2010-06,14
2010-07,17
2010-08,18
2010-09,17
2010-10,21
2010-11,21
2010-12,17
2011-01,18
2011-02,17
2011-03,18
2011-04,19
2011-05,18
2011-06,17
2011-07,18
2011-08,18
2011-09,20
2011-10,23
2011-11,24
2011-12,20
2012-01,21
2012-02,23
2012-03,21
2012-04,23
2012-05,22
2012-06,21
2012-07,22
2012-08,22
2012-09,30
2012-10,29
2012-11,30
2012-12,25
2013-01,27
2013-02,28
2013-03,28
2013-04,30
2013-05,30
2013-06,28
2013-07,28
2013-08,30
2013-09,41
2013-10,34
2013-11,36
2013-12,34
2014-01,35
2014-02,37
2014-03,37
2014-04,39
2014-05,37
2014-06,36
2014-07,34
2014-08,53
2014-09,54
2014-10,48
2014-11,52
2014-12,50
2015-01,52
2015-02,59
2015-03,61
2015-04,62
2015-05,61
2015-06,50
2015-07,42
2015-08,56
2015-09,54
2015-10,49
2015-11,46
2015-12,41
2016-01,45
2016-02,48
2016-03,48
2016-04,47
2016-05,45
2016-06,37
2016-07,41
2016-08,52
2016-09,49
2016-10,50
2016-11,49
2016-12,42
2017-01,49
2017-02,47
2017-03,45
2017-04,48
2017-05,48
2017-06,35
2017-07,51
2017-08,58
2017-09,55
2017-10,52
2017-11,49
2017-12,43
2018-01,50
2018-02,54
2018-03,49
2018-04,48
2018-05,42
2018-06,39
2018-07,56
2018-08,58
2018-09,54
2018-10,55
2018-11,50
2018-12,44
2019-01,54
2019-02,58
2019-03,54
2019-04,52
2019-05,49
2019-06,40
2019-07,63
2019-08,100
2019-09,84
2019-10,56
