Category: All categories

Month,Lake Toba: (Worldwide)
2010-01,41
2010-02,44
2010-03,43
2010-04,66
2010-05,76
2010-06,43
2010-07,42
2010-08,56
2010-09,37
2010-10,50
2010-11,51
2010-12,40
2011-01,67
2011-02,54
2011-03,49
2011-04,48
2011-05,42
2011-06,43
2011-07,45
2011-08,47
2011-09,51
2011-10,54
2011-11,54
2011-12,51
2012-01,61
2012-02,60
2012-03,52
2012-04,48
2012-05,50
2012-06,39
2012-07,43
2012-08,36
2012-09,43
2012-10,45
2012-11,49
2012-12,48
2013-01,52
2013-02,61
2013-03,45
2013-04,48
2013-05,49
2013-06,46
2013-07,44
2013-08,45
2013-09,51
2013-10,51
2013-11,55
2013-12,55
2014-01,60
2014-02,58
2014-03,49
2014-04,52
2014-05,45
2014-06,46
2014-07,38
2014-08,52
2014-09,49
2014-10,52
2014-11,45
2014-12,38
2015-01,43
2015-02,47
2015-03,52
2015-04,41
2015-05,45
2015-06,55
2015-07,41
2015-08,43
2015-09,39
2015-10,45
2015-11,40
2015-12,33
2016-01,37
2016-02,38
2016-03,45
2016-04,37
2016-05,38
2016-06,34
2016-07,35
2016-08,40
2016-09,40
2016-10,45
2016-11,41
2016-12,36
2017-01,37
2017-02,45
2017-03,45
2017-04,47
2017-05,45
2017-06,41
2017-07,43
2017-08,51
2017-09,47
2017-10,52
2017-11,55
2017-12,46
2018-01,48
2018-02,53
2018-03,50
2018-04,48
2018-05,41
2018-06,100
2018-07,62
2018-08,80
2018-09,53
2018-10,62
2018-11,54
2018-12,51
2019-01,70
2019-02,47
2019-03,44
2019-04,46
2019-05,41
2019-06,43
2019-07,49
2019-08,51
2019-09,58
2019-10,52
