Category: All categories

Month,Raja Ampat: (Worldwide)
2010-01,11
2010-02,9
2010-03,12
2010-04,15
2010-05,14
2010-06,18
2010-07,17
2010-08,24
2010-09,20
2010-10,16
2010-11,17
2010-12,18
2011-01,22
2011-02,22
2011-03,25
2011-04,26
2011-05,29
2011-06,42
2011-07,36
2011-08,37
2011-09,60
2011-10,47
2011-11,56
2011-12,61
2012-01,32
2012-02,39
2012-03,31
2012-04,34
2012-05,32
2012-06,34
2012-07,36
2012-08,30
2012-09,33
2012-10,32
2012-11,39
2012-12,37
2013-01,43
2013-02,35
2013-03,37
2013-04,44
2013-05,42
2013-06,40
2013-07,38
2013-08,43
2013-09,42
2013-10,45
2013-11,50
2013-12,46
2014-01,50
2014-02,52
2014-03,47
2014-04,50
2014-05,53
2014-06,53
2014-07,42
2014-08,85
2014-09,62
2014-10,59
2014-11,63
2014-12,59
2015-01,62
2015-02,60
2015-03,57
2015-04,72
2015-05,63
2015-06,56
2015-07,51
2015-08,63
2015-09,59
2015-10,57
2015-11,64
2015-12,71
2016-01,84
2016-02,62
2016-03,53
2016-04,61
2016-05,58
2016-06,52
2016-07,62
2016-08,60
2016-09,53
2016-10,62
2016-11,60
2016-12,57
2017-01,64
2017-02,54
2017-03,100
2017-04,69
2017-05,64
2017-06,52
2017-07,75
2017-08,66
2017-09,65
2017-10,67
2017-11,68
2017-12,70
2018-01,73
2018-02,62
2018-03,64
2018-04,64
2018-05,56
2018-06,53
2018-07,59
2018-08,61
2018-09,57
2018-10,55
2018-11,55
2018-12,61
2019-01,64
2019-02,55
2019-03,52
2019-04,60
2019-05,49
2019-06,54
2019-07,53
2019-08,58
2019-09,51
2019-10,47
