Category: All categories

Month,Tana Toraja: (Worldwide)
2010-01,23
2010-02,28
2010-03,32
2010-04,27
2010-05,23
2010-06,52
2010-07,38
2010-08,45
2010-09,37
2010-10,32
2010-11,32
2010-12,31
2011-01,34
2011-02,29
2011-03,29
2011-04,32
2011-05,32
2011-06,23
2011-07,24
2011-08,29
2011-09,34
2011-10,35
2011-11,24
2011-12,32
2012-01,30
2012-02,27
2012-03,36
2012-04,41
2012-05,33
2012-06,26
2012-07,36
2012-08,41
2012-09,35
2012-10,38
2012-11,42
2012-12,33
2013-01,38
2013-02,33
2013-03,40
2013-04,41
2013-05,48
2013-06,42
2013-07,42
2013-08,47
2013-09,52
2013-10,70
2013-11,65
2013-12,89
2014-01,56
2014-02,74
2014-03,45
2014-04,68
2014-05,59
2014-06,50
2014-07,49
2014-08,100
2014-09,77
2014-10,61
2014-11,60
2014-12,57
2015-01,54
2015-02,48
2015-03,46
2015-04,52
2015-05,55
2015-06,60
2015-07,71
2015-08,68
2015-09,56
2015-10,60
2015-11,54
2015-12,80
2016-01,57
2016-02,55
2016-03,56
2016-04,62
2016-05,54
2016-06,41
2016-07,49
2016-08,59
2016-09,60
2016-10,50
2016-11,51
2016-12,48
2017-01,51
2017-02,46
2017-03,43
2017-04,47
2017-05,43
2017-06,46
2017-07,43
2017-08,46
2017-09,51
2017-10,50
2017-11,42
2017-12,45
2018-01,42
2018-02,40
2018-03,47
2018-04,46
2018-05,44
2018-06,37
2018-07,48
2018-08,54
2018-09,50
2018-10,51
2018-11,45
2018-12,42
2019-01,39
2019-02,40
2019-03,53
2019-04,52
2019-05,46
2019-06,35
2019-07,41
2019-08,38
2019-09,43
2019-10,40
