Category: All categories

Month,Ubud: (Worldwide)
2010-01,22
2010-02,22
2010-03,25
2010-04,26
2010-05,25
2010-06,25
2010-07,28
2010-08,30
2010-09,25
2010-10,25
2010-11,22
2010-12,20
2011-01,26
2011-02,26
2011-03,26
2011-04,25
2011-05,26
2011-06,27
2011-07,30
2011-08,29
2011-09,29
2011-10,25
2011-11,24
2011-12,25
2012-01,29
2012-02,27
2012-03,27
2012-04,29
2012-05,28
2012-06,29
2012-07,34
2012-08,32
2012-09,29
2012-10,27
2012-11,25
2012-12,24
2013-01,29
2013-02,28
2013-03,30
2013-04,31
2013-05,32
2013-06,33
2013-07,36
2013-08,39
2013-09,33
2013-10,30
2013-11,29
2013-12,30
2014-01,35
2014-02,34
2014-03,36
2014-04,38
2014-05,39
2014-06,41
2014-07,48
2014-08,48
2014-09,41
2014-10,39
2014-11,37
2014-12,35
2015-01,41
2015-02,37
2015-03,41
2015-04,44
2015-05,46
2015-06,49
2015-07,52
2015-08,55
2015-09,49
2015-10,46
2015-11,41
2015-12,45
2016-01,53
2016-02,50
2016-03,55
2016-04,57
2016-05,63
2016-06,59
2016-07,71
2016-08,72
2016-09,65
2016-10,59
2016-11,52
2016-12,57
2017-01,65
2017-02,61
2017-03,62
2017-04,69
2017-05,71
2017-06,78
2017-07,85
2017-08,85
2017-09,78
2017-10,62
2017-11,59
2017-12,52
2018-01,70
2018-02,69
2018-03,74
2018-04,80
2018-05,82
2018-06,89
2018-07,92
2018-08,94
2018-09,81
2018-10,70
2018-11,64
2018-12,70
2019-01,74
2019-02,72
2019-03,76
2019-04,89
2019-05,85
2019-06,93
2019-07,97
2019-08,100
2019-09,93
2019-10,84
