Category: All categories

Month,Harajuku: (Worldwide)
2010-01,94
2010-02,82
2010-03,83
2010-04,90
2010-05,82
2010-06,71
2010-07,78
2010-08,75
2010-09,68
2010-10,79
2010-11,74
2010-12,73
2011-01,59
2011-02,59
2011-03,55
2011-04,54
2011-05,48
2011-06,47
2011-07,53
2011-08,62
2011-09,58
2011-10,66
2011-11,100
2011-12,76
2012-01,58
2012-02,50
2012-03,53
2012-04,49
2012-05,46
2012-06,42
2012-07,46
2012-08,47
2012-09,45
2012-10,46
2012-11,43
2012-12,42
2013-01,38
2013-02,36
2013-03,37
2013-04,36
2013-05,36
2013-06,36
2013-07,37
2013-08,38
2013-09,37
2013-10,41
2013-11,39
2013-12,41
2014-01,35
2014-02,34
2014-03,36
2014-04,43
2014-05,39
2014-06,35
2014-07,36
2014-08,43
2014-09,39
2014-10,44
2014-11,39
2014-12,40
2015-01,38
2015-02,35
2015-03,40
2015-04,46
2015-05,43
2015-06,40
2015-07,43
2015-08,40
2015-09,40
2015-10,42
2015-11,39
2015-12,42
2016-01,40
2016-02,38
2016-03,42
2016-04,47
2016-05,43
2016-06,40
2016-07,40
2016-08,37
2016-09,42
2016-10,50
2016-11,39
2016-12,42
2017-01,41
2017-02,40
2017-03,43
2017-04,49
2017-05,44
2017-06,41
2017-07,43
2017-08,39
2017-09,39
2017-10,41
2017-11,44
2017-12,44
2018-01,39
2018-02,40
2018-03,46
2018-04,51
2018-05,47
2018-06,46
2018-07,45
2018-08,40
2018-09,41
2018-10,44
2018-11,45
2018-12,47
2019-01,45
2019-02,40
2019-03,47
2019-04,50
2019-05,45
2019-06,44
2019-07,46
2019-08,45
2019-09,44
2019-10,46
