Category: All categories

Month,Kinkaku-ji: (Worldwide)
2010-01,35
2010-02,20
2010-03,29
2010-04,34
2010-05,30
2010-06,19
2010-07,28
2010-08,17
2010-09,23
2010-10,25
2010-11,31
2010-12,22
2011-01,20
2011-02,15
2011-03,32
2011-04,23
2011-05,11
2011-06,19
2011-07,11
2011-08,16
2011-09,25
2011-10,29
2011-11,22
2011-12,19
2012-01,22
2012-02,16
2012-03,26
2012-04,13
2012-05,31
2012-06,15
2012-07,19
2012-08,23
2012-09,21
2012-10,19
2012-11,21
2012-12,21
2013-01,17
2013-02,27
2013-03,33
2013-04,12
2013-05,29
2013-06,16
2013-07,10
2013-08,19
2013-09,25
2013-10,19
2013-11,15
2013-12,21
2014-01,22
2014-02,36
2014-03,22
2014-04,24
2014-05,24
2014-06,29
2014-07,18
2014-08,31
2014-09,27
2014-10,37
2014-11,26
2014-12,35
2015-01,24
2015-02,36
2015-03,27
2015-04,41
2015-05,32
2015-06,29
2015-07,42
2015-08,29
2015-09,42
2015-10,22
2015-11,28
2015-12,44
2016-01,15
2016-02,40
2016-03,80
2016-04,92
2016-05,91
2016-06,89
2016-07,42
2016-08,53
2016-09,49
2016-10,52
2016-11,46
2016-12,40
2017-01,49
2017-02,64
2017-03,62
2017-04,76
2017-05,62
2017-06,41
2017-07,47
2017-08,50
2017-09,50
2017-10,47
2017-11,66
2017-12,47
2018-01,50
2018-02,39
2018-03,61
2018-04,74
2018-05,64
2018-06,56
2018-07,54
2018-08,52
2018-09,60
2018-10,68
2018-11,52
2018-12,55
2019-01,45
2019-02,46
2019-03,75
2019-04,100
2019-05,76
2019-06,68
2019-07,65
2019-08,75
2019-09,61
2019-10,65
