Category: All categories

Month,Kiyomizu-dera: (Worldwide)
2010-01,11
2010-02,11
2010-03,18
2010-04,11
2010-05,21
2010-06,14
2010-07,13
2010-08,12
2010-09,16
2010-10,24
2010-11,15
2010-12,13
2011-01,18
2011-02,17
2011-03,6
2011-04,14
2011-05,11
2011-06,12
2011-07,12
2011-08,17
2011-09,14
2011-10,9
2011-11,7
2011-12,34
2012-01,35
2012-02,16
2012-03,20
2012-04,43
2012-05,15
2012-06,19
2012-07,24
2012-08,17
2012-09,15
2012-10,16
2012-11,19
2012-12,14
2013-01,17
2013-02,15
2013-03,15
2013-04,7
2013-05,17
2013-06,20
2013-07,15
2013-08,15
2013-09,17
2013-10,18
2013-11,23
2013-12,18
2014-01,21
2014-02,18
2014-03,31
2014-04,26
2014-05,23
2014-06,27
2014-07,26
2014-08,19
2014-09,23
2014-10,25
2014-11,15
2014-12,20
2015-01,22
2015-02,27
2015-03,26
2015-04,34
2015-05,22
2015-06,34
2015-07,28
2015-08,40
2015-09,30
2015-10,38
2015-11,38
2015-12,30
2016-01,22
2016-02,29
2016-03,59
2016-04,73
2016-05,49
2016-06,24
2016-07,41
2016-08,29
2016-09,21
2016-10,44
2016-11,70
2016-12,33
2017-01,47
2017-02,28
2017-03,50
2017-04,50
2017-05,32
2017-06,37
2017-07,25
2017-08,36
2017-09,41
2017-10,47
2017-11,48
2017-12,46
2018-01,53
2018-02,50
2018-03,57
2018-04,74
2018-05,55
2018-06,44
2018-07,36
2018-08,63
2018-09,39
2018-10,67
2018-11,54
2018-12,52
2019-01,47
2019-02,50
2019-03,83
2019-04,100
2019-05,87
2019-06,61
2019-07,65
2019-08,60
2019-09,69
2019-10,78
