Category: All categories

Month,Lake Ashi: (Worldwide)
2010-01,18
2010-02,23
2010-03,34
2010-04,22
2010-05,25
2010-06,15
2010-07,20
2010-08,33
2010-09,25
2010-10,21
2010-11,18
2010-12,12
2011-01,11
2011-02,28
2011-03,8
2011-04,22
2011-05,10
2011-06,24
2011-07,10
2011-08,12
2011-09,10
2011-10,11
2011-11,18
2011-12,25
2012-01,11
2012-02,15
2012-03,14
2012-04,27
2012-05,12
2012-06,21
2012-07,24
2012-08,12
2012-09,12
2012-10,11
2012-11,20
2012-12,13
2013-01,22
2013-02,31
2013-03,29
2013-04,43
2013-05,32
2013-06,20
2013-07,7
2013-08,25
2013-09,21
2013-10,26
2013-11,31
2013-12,22
2014-01,21
2014-02,22
2014-03,35
2014-04,34
2014-05,23
2014-06,26
2014-07,22
2014-08,46
2014-09,26
2014-10,34
2014-11,31
2014-12,22
2015-01,25
2015-02,25
2015-03,31
2015-04,39
2015-05,26
2015-06,29
2015-07,36
2015-08,33
2015-09,39
2015-10,43
2015-11,33
2015-12,46
2016-01,49
2016-02,39
2016-03,66
2016-04,57
2016-05,65
2016-06,55
2016-07,43
2016-08,38
2016-09,58
2016-10,43
2016-11,56
2016-12,48
2017-01,65
2017-02,51
2017-03,67
2017-04,73
2017-05,70
2017-06,43
2017-07,45
2017-08,44
2017-09,46
2017-10,56
2017-11,70
2017-12,49
2018-01,53
2018-02,40
2018-03,71
2018-04,76
2018-05,66
2018-06,56
2018-07,66
2018-08,63
2018-09,41
2018-10,60
2018-11,76
2018-12,53
2019-01,48
2019-02,43
2019-03,64
2019-04,100
2019-05,74
2019-06,66
2019-07,61
2019-08,57
2019-09,76
2019-10,86
