Category: All categories

Month,Mount Fuji: (Worldwide)
2010-01,47
2010-02,55
2010-03,51
2010-04,51
2010-05,54
2010-06,40
2010-07,42
2010-08,43
2010-09,46
2010-10,40
2010-11,45
2010-12,35
2011-01,45
2011-02,47
2011-03,71
2011-04,38
2011-05,38
2011-06,39
2011-07,42
2011-08,36
2011-09,38
2011-10,40
2011-11,47
2011-12,38
2012-01,47
2012-02,54
2012-03,50
2012-04,54
2012-05,47
2012-06,41
2012-07,42
2012-08,44
2012-09,57
2012-10,47
2012-11,42
2012-12,43
2013-01,48
2013-02,50
2013-03,48
2013-04,53
2013-05,52
2013-06,54
2013-07,55
2013-08,57
2013-09,52
2013-10,49
2013-11,57
2013-12,50
2014-01,51
2014-02,65
2014-03,57
2014-04,59
2014-05,64
2014-06,52
2014-07,63
2014-08,59
2014-09,61
2014-10,58
2014-11,58
2014-12,53
2015-01,64
2015-02,64
2015-03,66
2015-04,63
2015-05,67
2015-06,63
2015-07,64
2015-08,63
2015-09,62
2015-10,65
2015-11,60
2015-12,69
2016-01,73
2016-02,64
2016-03,75
2016-04,75
2016-05,71
2016-06,60
2016-07,65
2016-08,65
2016-09,63
2016-10,65
2016-11,63
2016-12,62
2017-01,74
2017-02,73
2017-03,78
2017-04,81
2017-05,80
2017-06,71
2017-07,76
2017-08,81
2017-09,70
2017-10,72
2017-11,75
2017-12,70
2018-01,92
2018-02,79
2018-03,83
2018-04,87
2018-05,89
2018-06,73
2018-07,75
2018-08,77
2018-09,77
2018-10,76
2018-11,87
2018-12,72
2019-01,81
2019-02,84
2019-03,100
2019-04,96
2019-05,84
2019-06,79
2019-07,78
2019-08,84
2019-09,85
2019-10,85
