Category: All categories

Month,Roppongi: (Worldwide)
2010-01,73
2010-02,75
2010-03,77
2010-04,84
2010-05,80
2010-06,84
2010-07,90
2010-08,81
2010-09,78
2010-10,75
2010-11,76
2010-12,74
2011-01,90
2011-02,71
2011-03,62
2011-04,53
2011-05,57
2011-06,61
2011-07,62
2011-08,62
2011-09,64
2011-10,67
2011-11,68
2011-12,70
2012-01,64
2012-02,63
2012-03,71
2012-04,68
2012-05,67
2012-06,70
2012-07,73
2012-08,69
2012-09,75
2012-10,67
2012-11,71
2012-12,71
2013-01,63
2013-02,66
2013-03,68
2013-04,74
2013-05,69
2013-06,71
2013-07,76
2013-08,73
2013-09,72
2013-10,72
2013-11,78
2013-12,85
2014-01,75
2014-02,73
2014-03,83
2014-04,85
2014-05,75
2014-06,72
2014-07,75
2014-08,78
2014-09,73
2014-10,74
2014-11,76
2014-12,79
2015-01,66
2015-02,69
2015-03,78
2015-04,84
2015-05,80
2015-06,75
2015-07,76
2015-08,80
2015-09,75
2015-10,74
2015-11,78
2015-12,90
2016-01,76
2016-02,72
2016-03,82
2016-04,93
2016-05,84
2016-06,79
2016-07,81
2016-08,78
2016-09,83
2016-10,83
2016-11,81
2016-12,91
2017-01,81
2017-02,78
2017-03,82
2017-04,98
2017-05,83
2017-06,75
2017-07,76
2017-08,76
2017-09,83
2017-10,89
2017-11,87
2017-12,100
2018-01,81
2018-02,77
2018-03,89
2018-04,94
2018-05,91
2018-06,87
2018-07,79
2018-08,77
2018-09,78
2018-10,83
2018-11,81
2018-12,86
2019-01,69
2019-02,69
2019-03,84
2019-04,88
2019-05,79
2019-06,74
2019-07,76
2019-08,74
2019-09,79
2019-10,88
