Category: All categories

Month,Sensō-ji: (Worldwide)
2010-01,0
2010-02,30
2010-03,26
2010-04,55
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,23
2010-11,45
2010-12,0
2011-01,0
2011-02,22
2011-03,0
2011-04,0
2011-05,20
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,17
2012-03,16
2012-04,0
2012-05,0
2012-06,0
2012-07,15
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,14
2013-03,0
2013-04,25
2013-05,0
2013-06,13
2013-07,13
2013-08,13
2013-09,0
2013-10,0
2013-11,12
2013-12,0
2014-01,22
2014-02,18
2014-03,16
2014-04,0
2014-05,11
2014-06,12
2014-07,25
2014-08,12
2014-09,12
2014-10,11
2014-11,0
2014-12,11
2015-01,16
2015-02,23
2015-03,15
2015-04,21
2015-05,21
2015-06,32
2015-07,36
2015-08,15
2015-09,30
2015-10,19
2015-11,29
2015-12,25
2016-01,30
2016-02,41
2016-03,93
2016-04,81
2016-05,100
2016-06,67
2016-07,53
2016-08,38
2016-09,63
2016-10,55
2016-11,35
2016-12,39
2017-01,56
2017-02,70
2017-03,72
2017-04,48
2017-05,95
2017-06,50
2017-07,44
2017-08,38
2017-09,48
2017-10,96
2017-11,74
2017-12,47
2018-01,35
2018-02,76
2018-03,74
2018-04,77
2018-05,83
2018-06,80
2018-07,57
2018-08,39
2018-09,48
2018-10,64
2018-11,83
2018-12,80
2019-01,59
2019-02,55
2019-03,72
2019-04,88
2019-05,87
2019-06,95
2019-07,63
2019-08,51
2019-09,91
2019-10,35
