Category: All categories

Month,Tōdai-ji: (Worldwide)
2010-01,0
2010-02,0
2010-03,44
2010-04,0
2010-05,46
2010-06,47
2010-07,0
2010-08,0
2010-09,81
2010-10,0
2010-11,38
2010-12,76
2011-01,35
2011-02,0
2011-03,33
2011-04,35
2011-05,100
2011-06,0
2011-07,0
2011-08,32
2011-09,41
2011-10,0
2011-11,30
2011-12,29
2012-01,0
2012-02,28
2012-03,0
2012-04,36
2012-05,26
2012-06,27
2012-07,0
2012-08,26
2012-09,26
2012-10,35
2012-11,24
2012-12,24
2013-01,21
2013-02,47
2013-03,21
2013-04,21
2013-05,21
2013-06,21
2013-07,21
2013-08,21
2013-09,20
2013-10,0
2013-11,0
2013-12,20
2014-01,18
2014-02,20
2014-03,54
2014-04,31
2014-05,19
2014-06,21
2014-07,21
2014-08,34
2014-09,33
2014-10,19
2014-11,38
2014-12,25
2015-01,18
2015-02,38
2015-03,34
2015-04,27
2015-05,40
2015-06,26
2015-07,26
2015-08,40
2015-09,22
2015-10,16
2015-11,33
2015-12,33
2016-01,17
2016-02,26
2016-03,44
2016-04,68
2016-05,50
2016-06,17
2016-07,62
2016-08,45
2016-09,29
2016-10,45
2016-11,56
2016-12,33
2017-01,39
2017-02,33
2017-03,30
2017-04,48
2017-05,64
2017-06,33
2017-07,33
2017-08,47
2017-09,16
2017-10,23
2017-11,26
2017-12,31
2018-01,34
2018-02,37
2018-03,14
2018-04,50
2018-05,15
2018-06,45
2018-07,19
2018-08,29
2018-09,20
2018-10,43
2018-11,44
2018-12,25
2019-01,33
2019-02,31
2019-03,71
2019-04,49
2019-05,37
2019-06,24
2019-07,33
2019-08,38
2019-09,55
2019-10,29
