Category: All categories

Month,Tsukiji fish market: (Worldwide)
2010-01,27
2010-02,34
2010-03,38
2010-04,45
2010-05,26
2010-06,34
2010-07,23
2010-08,26
2010-09,25
2010-10,31
2010-11,31
2010-12,27
2011-01,26
2011-02,22
2011-03,23
2011-04,11
2011-05,15
2011-06,17
2011-07,21
2011-08,21
2011-09,20
2011-10,20
2011-11,22
2011-12,20
2012-01,24
2012-02,24
2012-03,27
2012-04,31
2012-05,31
2012-06,28
2012-07,33
2012-08,30
2012-09,30
2012-10,34
2012-11,34
2012-12,36
2013-01,34
2013-02,26
2013-03,39
2013-04,40
2013-05,39
2013-06,36
2013-07,33
2013-08,41
2013-09,37
2013-10,40
2013-11,34
2013-12,37
2014-01,40
2014-02,36
2014-03,38
2014-04,48
2014-05,46
2014-06,36
2014-07,39
2014-08,39
2014-09,41
2014-10,42
2014-11,47
2014-12,49
2015-01,43
2015-02,39
2015-03,53
2015-04,56
2015-05,57
2015-06,48
2015-07,49
2015-08,43
2015-09,57
2015-10,54
2015-11,61
2015-12,60
2016-01,57
2016-02,56
2016-03,70
2016-04,80
2016-05,63
2016-06,59
2016-07,48
2016-08,51
2016-09,61
2016-10,77
2016-11,67
2016-12,74
2017-01,61
2017-02,62
2017-03,78
2017-04,86
2017-05,74
2017-06,67
2017-07,61
2017-08,69
2017-09,53
2017-10,73
2017-11,72
2017-12,74
2018-01,77
2018-02,62
2018-03,85
2018-04,89
2018-05,75
2018-06,67
2018-07,61
2018-08,61
2018-09,76
2018-10,100
2018-11,62
2018-12,54
2019-01,50
2019-02,49
2019-03,62
2019-04,64
2019-05,53
2019-06,45
2019-07,48
2019-08,45
2019-09,50
2019-10,53
