Category: All categories

Month,Chinatown Singapore: (Worldwide)
2010-01,40
2010-02,38
2010-03,40
2010-04,47
2010-05,46
2010-06,47
2010-07,55
2010-08,57
2010-09,53
2010-10,51
2010-11,53
2010-12,58
2011-01,66
2011-02,55
2011-03,57
2011-04,47
2011-05,56
2011-06,56
2011-07,64
2011-08,62
2011-09,61
2011-10,52
2011-11,56
2011-12,62
2012-01,82
2012-02,53
2012-03,61
2012-04,62
2012-05,59
2012-06,63
2012-07,73
2012-08,67
2012-09,73
2012-10,66
2012-11,67
2012-12,63
2013-01,85
2013-02,81
2013-03,71
2013-04,73
2013-05,72
2013-06,76
2013-07,80
2013-08,74
2013-09,79
2013-10,74
2013-11,68
2013-12,80
2014-01,100
2014-02,79
2014-03,71
2014-04,74
2014-05,81
2014-06,78
2014-07,83
2014-08,84
2014-09,82
2014-10,74
2014-11,75
2014-12,73
2015-01,83
2015-02,86
2015-03,70
2015-04,67
2015-05,77
2015-06,72
2015-07,84
2015-08,80
2015-09,80
2015-10,73
2015-11,64
2015-12,72
2016-01,85
2016-02,83
2016-03,66
2016-04,71
2016-05,71
2016-06,65
2016-07,86
2016-08,71
2016-09,66
2016-10,71
2016-11,69
2016-12,77
2017-01,96
2017-02,80
2017-03,72
2017-04,78
2017-05,75
2017-06,76
2017-07,87
2017-08,76
2017-09,76
2017-10,76
2017-11,67
2017-12,79
2018-01,87
2018-02,87
2018-03,77
2018-04,71
2018-05,75
2018-06,79
2018-07,81
2018-08,76
2018-09,75
2018-10,68
2018-11,73
2018-12,76
2019-01,85
2019-02,76
2019-03,71
2019-04,71
2019-05,68
2019-06,75
2019-07,82
2019-08,75
2019-09,79
2019-10,77
