Category: All categories

Month,Clarke Quay: (Worldwide)
2010-01,47
2010-02,52
2010-03,56
2010-04,64
2010-05,57
2010-06,63
2010-07,77
2010-08,67
2010-09,67
2010-10,65
2010-11,61
2010-12,69
2011-01,57
2011-02,58
2011-03,56
2011-04,60
2011-05,60
2011-06,64
2011-07,70
2011-08,66
2011-09,66
2011-10,72
2011-11,65
2011-12,68
2012-01,60
2012-02,67
2012-03,64
2012-04,61
2012-05,65
2012-06,67
2012-07,71
2012-08,70
2012-09,71
2012-10,70
2012-11,67
2012-12,73
2013-01,62
2013-02,62
2013-03,61
2013-04,62
2013-05,73
2013-06,74
2013-07,79
2013-08,81
2013-09,81
2013-10,82
2013-11,77
2013-12,77
2014-01,74
2014-02,69
2014-03,76
2014-04,81
2014-05,84
2014-06,84
2014-07,91
2014-08,83
2014-09,84
2014-10,80
2014-11,75
2014-12,84
2015-01,79
2015-02,71
2015-03,73
2015-04,76
2015-05,79
2015-06,81
2015-07,83
2015-08,79
2015-09,73
2015-10,79
2015-11,72
2015-12,86
2016-01,73
2016-02,68
2016-03,74
2016-04,77
2016-05,77
2016-06,74
2016-07,85
2016-08,72
2016-09,80
2016-10,80
2016-11,76
2016-12,87
2017-01,71
2017-02,81
2017-03,79
2017-04,87
2017-05,85
2017-06,86
2017-07,91
2017-08,87
2017-09,87
2017-10,85
2017-11,85
2017-12,100
2018-01,87
2018-02,78
2018-03,88
2018-04,86
2018-05,81
2018-06,92
2018-07,93
2018-08,91
2018-09,85
2018-10,83
2018-11,81
2018-12,91
2019-01,86
2019-02,83
2019-03,88
2019-04,84
2019-05,84
2019-06,93
2019-07,98
2019-08,99
2019-09,93
2019-10,93
