Category: All categories

Month,Gardens by the Bay: (Worldwide)
2010-01,1
2010-02,1
2010-03,1
2010-04,1
2010-05,1
2010-06,1
2010-07,1
2010-08,1
2010-09,1
2010-10,1
2010-11,1
2010-12,1
2011-01,1
2011-02,2
2011-03,1
2011-04,1
2011-05,1
2011-06,2
2011-07,2
2011-08,2
2011-09,2
2011-10,2
2011-11,10
2011-12,4
2012-01,4
2012-02,4
2012-03,3
2012-04,7
2012-05,10
2012-06,42
2012-07,93
2012-08,54
2012-09,48
2012-10,44
2012-11,38
2012-12,39
2013-01,31
2013-02,33
2013-03,34
2013-04,37
2013-05,54
2013-06,32
2013-07,30
2013-08,31
2013-09,30
2013-10,28
2013-11,28
2013-12,30
2014-01,27
2014-02,31
2014-03,30
2014-04,40
2014-05,34
2014-06,30
2014-07,31
2014-08,37
2014-09,34
2014-10,24
2014-11,28
2014-12,62
2015-01,29
2015-02,31
2015-03,30
2015-04,36
2015-05,37
2015-06,35
2015-07,38
2015-08,53
2015-09,31
2015-10,30
2015-11,50
2015-12,100
2016-01,32
2016-02,30
2016-03,48
2016-04,34
2016-05,35
2016-06,32
2016-07,43
2016-08,33
2016-09,35
2016-10,30
2016-11,34
2016-12,65
2017-01,34
2017-02,36
2017-03,49
2017-04,44
2017-05,44
2017-06,43
2017-07,40
2017-08,40
2017-09,47
2017-10,42
2017-11,40
2017-12,66
2018-01,38
2018-02,40
2018-03,49
2018-04,44
2018-05,44
2018-06,49
2018-07,47
2018-08,47
2018-09,50
2018-10,40
2018-11,43
2018-12,65
2019-01,40
2019-02,42
2019-03,51
2019-04,47
2019-05,45
2019-06,54
2019-07,53
2019-08,50
2019-09,47
2019-10,40
