Category: All categories

Month,marina bay sands: (Worldwide)
2010-01,10
2010-02,11
2010-03,15
2010-04,32
2010-05,38
2010-06,77
2010-07,100
2010-08,81
2010-09,73
2010-10,68
2010-11,63
2010-12,69
2011-01,65
2011-02,63
2011-03,85
2011-04,65
2011-05,71
2011-06,77
2011-07,74
2011-08,69
2011-09,68
2011-10,64
2011-11,78
2011-12,82
2012-01,99
2012-02,84
2012-03,78
2012-04,73
2012-05,73
2012-06,89
2012-07,86
2012-08,76
2012-09,73
2012-10,63
2012-11,64
2012-12,65
2013-01,64
2013-02,61
2013-03,69
2013-04,62
2013-05,64
2013-06,64
2013-07,63
2013-08,66
2013-09,61
2013-10,57
2013-11,54
2013-12,59
2014-01,57
2014-02,59
2014-03,59
2014-04,53
2014-05,55
2014-06,52
2014-07,59
2014-08,55
2014-09,53
2014-10,50
2014-11,50
2014-12,53
2015-01,51
2015-02,43
2015-03,49
2015-04,49
2015-05,51
2015-06,51
2015-07,56
2015-08,58
2015-09,53
2015-10,44
2015-11,47
2015-12,49
2016-01,43
2016-02,40
2016-03,45
2016-04,44
2016-05,47
2016-06,43
2016-07,47
2016-08,44
2016-09,47
2016-10,43
2016-11,42
2016-12,46
2017-01,47
2017-02,42
2017-03,55
2017-04,54
2017-05,44
2017-06,48
2017-07,49
2017-08,45
2017-09,45
2017-10,43
2017-11,52
2017-12,57
2018-01,55
2018-02,46
2018-03,52
2018-04,48
2018-05,46
2018-06,50
2018-07,51
2018-08,51
2018-09,51
2018-10,43
2018-11,47
2018-12,51
2019-01,49
2019-02,47
2019-03,52
2019-04,53
2019-05,47
2019-06,51
2019-07,55
2019-08,53
2019-09,52
2019-10,48
