Category: All categories

Month,Merlion Park: (Worldwide)
2010-01,15
2010-02,9
2010-03,15
2010-04,18
2010-05,22
2010-06,23
2010-07,27
2010-08,22
2010-09,19
2010-10,23
2010-11,13
2010-12,22
2011-01,20
2011-02,17
2011-03,27
2011-04,32
2011-05,22
2011-06,31
2011-07,28
2011-08,28
2011-09,26
2011-10,19
2011-11,21
2011-12,26
2012-01,23
2012-02,23
2012-03,25
2012-04,27
2012-05,24
2012-06,35
2012-07,25
2012-08,34
2012-09,40
2012-10,20
2012-11,24
2012-12,26
2013-01,30
2013-02,22
2013-03,30
2013-04,35
2013-05,37
2013-06,33
2013-07,39
2013-08,37
2013-09,28
2013-10,29
2013-11,29
2013-12,37
2014-01,36
2014-02,34
2014-03,37
2014-04,34
2014-05,40
2014-06,30
2014-07,47
2014-08,38
2014-09,36
2014-10,36
2014-11,32
2014-12,41
2015-01,44
2015-02,32
2015-03,32
2015-04,43
2015-05,43
2015-06,44
2015-07,49
2015-08,57
2015-09,43
2015-10,40
2015-11,37
2015-12,51
2016-01,40
2016-02,40
2016-03,46
2016-04,45
2016-05,43
2016-06,44
2016-07,57
2016-08,52
2016-09,47
2016-10,46
2016-11,51
2016-12,62
2017-01,59
2017-02,53
2017-03,55
2017-04,54
2017-05,59
2017-06,60
2017-07,83
2017-08,68
2017-09,73
2017-10,66
2017-11,62
2017-12,76
2018-01,76
2018-02,68
2018-03,76
2018-04,72
2018-05,71
2018-06,76
2018-07,87
2018-08,79
2018-09,73
2018-10,70
2018-11,73
2018-12,97
2019-01,80
2019-02,77
2019-03,89
2019-04,90
2019-05,81
2019-06,86
2019-07,97
2019-08,100
2019-09,80
2019-10,92
