Category: All categories

Month,Orchard Road: (Worldwide)
2010-01,43
2010-02,44
2010-03,48
2010-04,47
2010-05,49
2010-06,100
2010-07,63
2010-08,55
2010-09,49
2010-10,56
2010-11,52
2010-12,62
2011-01,48
2011-02,48
2011-03,52
2011-04,53
2011-05,55
2011-06,58
2011-07,57
2011-08,52
2011-09,55
2011-10,54
2011-11,53
2011-12,66
2012-01,51
2012-02,50
2012-03,50
2012-04,50
2012-05,54
2012-06,51
2012-07,55
2012-08,51
2012-09,56
2012-10,53
2012-11,54
2012-12,60
2013-01,48
2013-02,45
2013-03,48
2013-04,50
2013-05,53
2013-06,52
2013-07,53
2013-08,53
2013-09,55
2013-10,56
2013-11,53
2013-12,61
2014-01,50
2014-02,52
2014-03,48
2014-04,53
2014-05,54
2014-06,56
2014-07,57
2014-08,55
2014-09,60
2014-10,59
2014-11,57
2014-12,70
2015-01,55
2015-02,52
2015-03,54
2015-04,56
2015-05,59
2015-06,60
2015-07,65
2015-08,61
2015-09,59
2015-10,62
2015-11,58
2015-12,66
2016-01,52
2016-02,54
2016-03,54
2016-04,54
2016-05,58
2016-06,56
2016-07,58
2016-08,57
2016-09,57
2016-10,58
2016-11,57
2016-12,66
2017-01,55
2017-02,56
2017-03,53
2017-04,57
2017-05,56
2017-06,59
2017-07,65
2017-08,58
2017-09,59
2017-10,61
2017-11,60
2017-12,69
2018-01,57
2018-02,54
2018-03,56
2018-04,56
2018-05,54
2018-06,59
2018-07,60
2018-08,58
2018-09,59
2018-10,59
2018-11,60
2018-12,68
2019-01,55
2019-02,53
2019-03,54
2019-04,57
2019-05,53
2019-06,59
2019-07,62
2019-08,59
2019-09,60
2019-10,62
