Category: All categories

Month,Pulau Ubin: (Worldwide)
2010-01,50
2010-02,40
2010-03,55
2010-04,65
2010-05,61
2010-06,61
2010-07,52
2010-08,65
2010-09,52
2010-10,51
2010-11,60
2010-12,62
2011-01,61
2011-02,59
2011-03,45
2011-04,100
2011-05,78
2011-06,90
2011-07,78
2011-08,78
2011-09,72
2011-10,59
2011-11,72
2011-12,64
2012-01,68
2012-02,60
2012-03,61
2012-04,78
2012-05,54
2012-06,57
2012-07,49
2012-08,71
2012-09,63
2012-10,55
2012-11,47
2012-12,48
2013-01,44
2013-02,50
2013-03,60
2013-04,70
2013-05,66
2013-06,52
2013-07,55
2013-08,71
2013-09,48
2013-10,60
2013-11,47
2013-12,56
2014-01,52
2014-02,54
2014-03,60
2014-04,66
2014-05,51
2014-06,57
2014-07,59
2014-08,54
2014-09,58
2014-10,65
2014-11,50
2014-12,53
2015-01,59
2015-02,63
2015-03,55
2015-04,66
2015-05,68
2015-06,77
2015-07,76
2015-08,72
2015-09,53
2015-10,50
2015-11,55
2015-12,65
2016-01,49
2016-02,50
2016-03,55
2016-04,55
2016-05,72
2016-06,51
2016-07,55
2016-08,44
2016-09,45
2016-10,45
2016-11,43
2016-12,50
2017-01,49
2017-02,41
2017-03,49
2017-04,54
2017-05,46
2017-06,52
2017-07,47
2017-08,55
2017-09,51
2017-10,45
2017-11,41
2017-12,52
2018-01,39
2018-02,44
2018-03,48
2018-04,43
2018-05,44
2018-06,47
2018-07,48
2018-08,51
2018-09,43
2018-10,42
2018-11,39
2018-12,41
2019-01,41
2019-02,49
2019-03,44
2019-04,46
2019-05,40
2019-06,51
2019-07,45
2019-08,56
2019-09,44
2019-10,36
