Category: All categories

Month,Raffles Hotel Singapore: (Worldwide)
2010-01,88
2010-02,83
2010-03,100
2010-04,96
2010-05,77
2010-06,71
2010-07,85
2010-08,91
2010-09,87
2010-10,75
2010-11,86
2010-12,72
2011-01,80
2011-02,81
2011-03,68
2011-04,71
2011-05,67
2011-06,66
2011-07,73
2011-08,80
2011-09,82
2011-10,77
2011-11,69
2011-12,66
2012-01,74
2012-02,67
2012-03,63
2012-04,66
2012-05,68
2012-06,65
2012-07,70
2012-08,69
2012-09,86
2012-10,70
2012-11,73
2012-12,55
2013-01,70
2013-02,62
2013-03,57
2013-04,62
2013-05,61
2013-06,56
2013-07,64
2013-08,68
2013-09,63
2013-10,56
2013-11,62
2013-12,51
2014-01,61
2014-02,55
2014-03,56
2014-04,50
2014-05,49
2014-06,52
2014-07,53
2014-08,65
2014-09,59
2014-10,47
2014-11,51
2014-12,52
2015-01,65
2015-02,50
2015-03,54
2015-04,49
2015-05,50
2015-06,50
2015-07,50
2015-08,55
2015-09,54
2015-10,43
2015-11,44
2015-12,49
2016-01,45
2016-02,46
2016-03,40
2016-04,46
2016-05,41
2016-06,41
2016-07,51
2016-08,42
2016-09,46
2016-10,39
2016-11,41
2016-12,33
2017-01,38
2017-02,47
2017-03,43
2017-04,35
2017-05,39
2017-06,35
2017-07,41
2017-08,46
2017-09,48
2017-10,33
2017-11,37
2017-12,35
2018-01,41
2018-02,41
2018-03,41
2018-04,38
2018-05,32
2018-06,33
2018-07,34
2018-08,47
2018-09,47
2018-10,28
2018-11,35
2018-12,32
2019-01,37
2019-02,40
2019-03,37
2019-04,34
2019-05,30
2019-06,37
2019-07,38
2019-08,65
2019-09,64
2019-10,69
