Category: All categories

Month,Sentosa Island: (Worldwide)
2010-01,59
2010-02,52
2010-03,64
2010-04,61
2010-05,62
2010-06,56
2010-07,61
2010-08,56
2010-09,49
2010-10,48
2010-11,42
2010-12,46
2011-01,41
2011-02,42
2011-03,37
2011-04,41
2011-05,44
2011-06,45
2011-07,47
2011-08,39
2011-09,39
2011-10,40
2011-11,39
2011-12,37
2012-01,35
2012-02,38
2012-03,35
2012-04,42
2012-05,39
2012-06,40
2012-07,45
2012-08,43
2012-09,39
2012-10,36
2012-11,41
2012-12,40
2013-01,40
2013-02,45
2013-03,41
2013-04,43
2013-05,44
2013-06,44
2013-07,48
2013-08,45
2013-09,40
2013-10,42
2013-11,42
2013-12,39
2014-01,44
2014-02,47
2014-03,44
2014-04,48
2014-05,45
2014-06,49
2014-07,45
2014-08,50
2014-09,39
2014-10,42
2014-11,41
2014-12,42
2015-01,38
2015-02,38
2015-03,43
2015-04,44
2015-05,52
2015-06,47
2015-07,46
2015-08,50
2015-09,42
2015-10,41
2015-11,40
2015-12,42
2016-01,45
2016-02,36
2016-03,40
2016-04,38
2016-05,39
2016-06,40
2016-07,41
2016-08,36
2016-09,38
2016-10,38
2016-11,35
2016-12,39
2017-01,39
2017-02,40
2017-03,40
2017-04,44
2017-05,45
2017-06,41
2017-07,46
2017-08,43
2017-09,41
2017-10,39
2017-11,35
2017-12,40
2018-01,41
2018-02,41
2018-03,44
2018-04,41
2018-05,43
2018-06,100
2018-07,46
2018-08,44
2018-09,44
2018-10,37
2018-11,36
2018-12,41
2019-01,39
2019-02,35
2019-03,47
2019-04,44
2019-05,36
2019-06,45
2019-07,45
2019-08,41
2019-09,46
2019-10,44
