Category: All categories

Month,Singapore Flyer: (Worldwide)
2010-01,61
2010-02,63
2010-03,63
2010-04,74
2010-05,77
2010-06,83
2010-07,96
2010-08,86
2010-09,73
2010-10,75
2010-11,84
2010-12,91
2011-01,77
2011-02,83
2011-03,83
2011-04,94
2011-05,88
2011-06,86
2011-07,100
2011-08,88
2011-09,81
2011-10,81
2011-11,81
2011-12,90
2012-01,77
2012-02,78
2012-03,72
2012-04,65
2012-05,73
2012-06,74
2012-07,81
2012-08,78
2012-09,82
2012-10,74
2012-11,69
2012-12,83
2013-01,71
2013-02,72
2013-03,66
2013-04,65
2013-05,80
2013-06,70
2013-07,72
2013-08,62
2013-09,61
2013-10,59
2013-11,60
2013-12,65
2014-01,59
2014-02,58
2014-03,59
2014-04,60
2014-05,64
2014-06,60
2014-07,63
2014-08,64
2014-09,56
2014-10,52
2014-11,54
2014-12,56
2015-01,51
2015-02,51
2015-03,52
2015-04,50
2015-05,55
2015-06,56
2015-07,65
2015-08,59
2015-09,53
2015-10,50
2015-11,47
2015-12,53
2016-01,45
2016-02,44
2016-03,45
2016-04,48
2016-05,47
2016-06,48
2016-07,50
2016-08,48
2016-09,49
2016-10,42
2016-11,41
2016-12,44
2017-01,44
2017-02,45
2017-03,44
2017-04,52
2017-05,49
2017-06,49
2017-07,50
2017-08,45
2017-09,46
2017-10,42
2017-11,44
2017-12,45
2018-01,47
2018-02,43
2018-03,39
2018-04,43
2018-05,43
2018-06,46
2018-07,43
2018-08,42
2018-09,44
2018-10,38
2018-11,37
2018-12,39
2019-01,40
2019-02,38
2019-03,39
2019-04,39
2019-05,38
2019-06,43
2019-07,43
2019-08,42
2019-09,38
2019-10,36
