Category: All categories

Month,Singapore Zoo: (Worldwide)
2010-01,60
2010-02,63
2010-03,68
2010-04,69
2010-05,69
2010-06,81
2010-07,78
2010-08,83
2010-09,77
2010-10,74
2010-11,77
2010-12,81
2011-01,64
2011-02,73
2011-03,77
2011-04,77
2011-05,77
2011-06,85
2011-07,85
2011-08,86
2011-09,73
2011-10,73
2011-11,71
2011-12,88
2012-01,77
2012-02,74
2012-03,77
2012-04,74
2012-05,72
2012-06,81
2012-07,72
2012-08,81
2012-09,82
2012-10,69
2012-11,77
2012-12,95
2013-01,69
2013-02,77
2013-03,91
2013-04,79
2013-05,84
2013-06,91
2013-07,96
2013-08,85
2013-09,71
2013-10,73
2013-11,69
2013-12,87
2014-01,73
2014-02,66
2014-03,66
2014-04,73
2014-05,75
2014-06,75
2014-07,80
2014-08,79
2014-09,84
2014-10,69
2014-11,64
2014-12,77
2015-01,62
2015-02,62
2015-03,66
2015-04,71
2015-05,82
2015-06,86
2015-07,84
2015-08,95
2015-09,60
2015-10,58
2015-11,63
2015-12,85
2016-01,58
2016-02,57
2016-03,61
2016-04,62
2016-05,66
2016-06,69
2016-07,73
2016-08,69
2016-09,55
2016-10,56
2016-11,56
2016-12,65
2017-01,60
2017-02,57
2017-03,72
2017-04,68
2017-05,62
2017-06,69
2017-07,67
2017-08,66
2017-09,62
2017-10,63
2017-11,58
2017-12,80
2018-01,64
2018-02,64
2018-03,83
2018-04,86
2018-05,71
2018-06,80
2018-07,100
2018-08,85
2018-09,68
2018-10,67
2018-11,63
2018-12,81
2019-01,58
2019-02,62
2019-03,64
2019-04,68
2019-05,60
2019-06,70
2019-07,67
2019-08,72
2019-09,62
2019-10,65
