Category: All categories

Month,Universal Studios Singapore: (Worldwide)
2010-01,31
2010-02,51
2010-03,100
2010-04,77
2010-05,76
2010-06,86
2010-07,80
2010-08,70
2010-09,60
2010-10,65
2010-11,69
2010-12,77
2011-01,55
2011-02,55
2011-03,58
2011-04,63
2011-05,72
2011-06,69
2011-07,61
2011-08,56
2011-09,55
2011-10,62
2011-11,60
2011-12,79
2012-01,58
2012-02,50
2012-03,54
2012-04,50
2012-05,49
2012-06,54
2012-07,45
2012-08,47
2012-09,50
2012-10,56
2012-11,48
2012-12,52
2013-01,40
2013-02,37
2013-03,49
2013-04,47
2013-05,52
2013-06,51
2013-07,51
2013-08,51
2013-09,41
2013-10,47
2013-11,44
2013-12,56
2014-01,41
2014-02,37
2014-03,38
2014-04,40
2014-05,41
2014-06,42
2014-07,38
2014-08,39
2014-09,38
2014-10,40
2014-11,36
2014-12,44
2015-01,29
2015-02,29
2015-03,33
2015-04,35
2015-05,40
2015-06,44
2015-07,43
2015-08,39
2015-09,32
2015-10,37
2015-11,38
2015-12,44
2016-01,31
2016-02,28
2016-03,33
2016-04,32
2016-05,35
2016-06,37
2016-07,37
2016-08,33
2016-09,28
2016-10,33
2016-11,31
2016-12,40
2017-01,32
2017-02,28
2017-03,31
2017-04,37
2017-05,35
2017-06,40
2017-07,38
2017-08,35
2017-09,33
2017-10,34
2017-11,35
2017-12,44
2018-01,34
2018-02,31
2018-03,33
2018-04,36
2018-05,36
2018-06,39
2018-07,39
2018-08,37
2018-09,32
2018-10,32
2018-11,29
2018-12,38
2019-01,31
2019-02,27
2019-03,33
2019-04,39
2019-05,34
2019-06,37
2019-07,41
2019-08,38
2019-09,36
2019-10,39
