Category: All categories

Month,Garden of Morning Calm: (Worldwide)
2010-01,9
2010-02,6
2010-03,6
2010-04,6
2010-05,0
2010-06,0
2010-07,6
2010-08,5
2010-09,5
2010-10,10
2010-11,0
2010-12,0
2011-01,4
2011-02,0
2011-03,4
2011-04,4
2011-05,6
2011-06,6
2011-07,4
2011-08,4
2011-09,4
2011-10,6
2011-11,7
2011-12,6
2012-01,0
2012-02,11
2012-03,3
2012-04,7
2012-05,3
2012-06,4
2012-07,4
2012-08,3
2012-09,11
2012-10,6
2012-11,10
2012-12,8
2013-01,4
2013-02,16
2013-03,12
2013-04,5
2013-05,4
2013-06,10
2013-07,5
2013-08,9
2013-09,15
2013-10,14
2013-11,19
2013-12,25
2014-01,12
2014-02,15
2014-03,19
2014-04,13
2014-05,14
2014-06,15
2014-07,7
2014-08,11
2014-09,12
2014-10,22
2014-11,18
2014-12,21
2015-01,26
2015-02,17
2015-03,27
2015-04,34
2015-05,22
2015-06,10
2015-07,8
2015-08,10
2015-09,20
2015-10,31
2015-11,24
2015-12,39
2016-01,35
2016-02,35
2016-03,29
2016-04,42
2016-05,32
2016-06,32
2016-07,24
2016-08,25
2016-09,34
2016-10,34
2016-11,42
2016-12,48
2017-01,43
2017-02,46
2017-03,54
2017-04,56
2017-05,43
2017-06,40
2017-07,38
2017-08,36
2017-09,49
2017-10,78
2017-11,83
2017-12,62
2018-01,58
2018-02,50
2018-03,74
2018-04,76
2018-05,57
2018-06,64
2018-07,51
2018-08,58
2018-09,57
2018-10,92
2018-11,78
2018-12,66
2019-01,52
2019-02,47
2019-03,60
2019-04,72
2019-05,62
2019-06,49
2019-07,44
2019-08,42
2019-09,79
2019-10,100
