Category: All categories

Month,Han River: (Worldwide)
2010-01,35
2010-02,44
2010-03,37
2010-04,45
2010-05,56
2010-06,47
2010-07,51
2010-08,39
2010-09,42
2010-10,48
2010-11,49
2010-12,35
2011-01,28
2011-02,36
2011-03,31
2011-04,44
2011-05,61
2011-06,54
2011-07,50
2011-08,42
2011-09,53
2011-10,53
2011-11,36
2011-12,42
2012-01,53
2012-02,39
2012-03,43
2012-04,45
2012-05,63
2012-06,72
2012-07,45
2012-08,56
2012-09,80
2012-10,64
2012-11,41
2012-12,47
2013-01,42
2013-02,41
2013-03,47
2013-04,48
2013-05,52
2013-06,52
2013-07,54
2013-08,54
2013-09,66
2013-10,58
2013-11,47
2013-12,45
2014-01,56
2014-02,49
2014-03,61
2014-04,55
2014-05,85
2014-06,61
2014-07,53
2014-08,55
2014-09,68
2014-10,57
2014-11,50
2014-12,54
2015-01,49
2015-02,60
2015-03,60
2015-04,55
2015-05,69
2015-06,57
2015-07,54
2015-08,62
2015-09,62
2015-10,68
2015-11,67
2015-12,63
2016-01,64
2016-02,50
2016-03,58
2016-04,69
2016-05,78
2016-06,70
2016-07,77
2016-08,69
2016-09,78
2016-10,74
2016-11,61
2016-12,57
2017-01,56
2017-02,45
2017-03,69
2017-04,85
2017-05,92
2017-06,85
2017-07,67
2017-08,65
2017-09,82
2017-10,84
2017-11,70
2017-12,70
2018-01,61
2018-02,61
2018-03,72
2018-04,74
2018-05,80
2018-06,76
2018-07,83
2018-08,72
2018-09,83
2018-10,87
2018-11,82
2018-12,81
2019-01,69
2019-02,96
2019-03,82
2019-04,87
2019-05,90
2019-06,100
2019-07,75
2019-08,86
2019-09,90
2019-10,90
