Category: All categories

Month,Insa-dong: (Worldwide)
2010-01,40
2010-02,100
2010-03,0
2010-04,40
2010-05,60
2010-06,41
2010-07,38
2010-08,73
2010-09,35
2010-10,67
2010-11,0
2010-12,33
2011-01,0
2011-02,95
2011-03,43
2011-04,46
2011-05,38
2011-06,59
2011-07,73
2011-08,65
2011-09,54
2011-10,38
2011-11,0
2011-12,38
2012-01,47
2012-02,24
2012-03,46
2012-04,55
2012-05,89
2012-06,35
2012-07,79
2012-08,45
2012-09,90
2012-10,54
2012-11,41
2012-12,31
2013-01,28
2013-02,20
2013-03,36
2013-04,31
2013-05,18
2013-06,31
2013-07,55
2013-08,31
2013-09,27
2013-10,34
2013-11,61
2013-12,29
2014-01,32
2014-02,53
2014-03,31
2014-04,49
2014-05,33
2014-06,36
2014-07,62
2014-08,77
2014-09,34
2014-10,60
2014-11,50
2014-12,49
2015-01,45
2015-02,33
2015-03,60
2015-04,31
2015-05,25
2015-06,15
2015-07,20
2015-08,30
2015-09,36
2015-10,32
2015-11,43
2015-12,57
2016-01,24
2016-02,20
2016-03,43
2016-04,52
2016-05,29
2016-06,30
2016-07,26
2016-08,31
2016-09,54
2016-10,29
2016-11,29
2016-12,24
2017-01,27
2017-02,37
2017-03,26
2017-04,19
2017-05,23
2017-06,15
2017-07,29
2017-08,20
2017-09,33
2017-10,40
2017-11,27
2017-12,82
2018-01,13
2018-02,32
2018-03,33
2018-04,26
2018-05,34
2018-06,39
2018-07,29
2018-08,34
2018-09,34
2018-10,45
2018-11,34
2018-12,74
2019-01,29
2019-02,53
2019-03,33
2019-04,34
2019-05,28
2019-06,38
2019-07,29
2019-08,37
2019-09,60
2019-10,93
