Category: All categories

Month,Myeong-dong: (Worldwide)
2010-01,48
2010-02,60
2010-03,69
2010-04,63
2010-05,75
2010-06,35
2010-07,53
2010-08,100
2010-09,66
2010-10,83
2010-11,54
2010-12,52
2011-01,50
2011-02,82
2011-03,78
2011-04,83
2011-05,54
2011-06,57
2011-07,75
2011-08,50
2011-09,78
2011-10,70
2011-11,62
2011-12,53
2012-01,46
2012-02,72
2012-03,59
2012-04,63
2012-05,82
2012-06,63
2012-07,61
2012-08,82
2012-09,66
2012-10,84
2012-11,59
2012-12,62
2013-01,61
2013-02,48
2013-03,67
2013-04,40
2013-05,46
2013-06,83
2013-07,59
2013-08,61
2013-09,50
2013-10,42
2013-11,39
2013-12,35
2014-01,35
2014-02,29
2014-03,39
2014-04,50
2014-05,47
2014-06,35
2014-07,42
2014-08,39
2014-09,46
2014-10,53
2014-11,40
2014-12,23
2015-01,26
2015-02,28
2015-03,44
2015-04,47
2015-05,35
2015-06,19
2015-07,18
2015-08,39
2015-09,29
2015-10,28
2015-11,43
2015-12,28
2016-01,30
2016-02,43
2016-03,38
2016-04,38
2016-05,35
2016-06,20
2016-07,28
2016-08,34
2016-09,37
2016-10,34
2016-11,43
2016-12,25
2017-01,22
2017-02,25
2017-03,31
2017-04,33
2017-05,27
2017-06,22
2017-07,26
2017-08,27
2017-09,33
2017-10,28
2017-11,36
2017-12,20
2018-01,22
2018-02,29
2018-03,20
2018-04,41
2018-05,28
2018-06,31
2018-07,26
2018-08,30
2018-09,36
2018-10,36
2018-11,31
2018-12,35
2019-01,30
2019-02,26
2019-03,34
2019-04,40
2019-05,41
2019-06,46
2019-07,36
2019-08,41
2019-09,53
2019-10,61
