Category: All categories

Month,Chiang Kai-Shek Memorial Hall: (Worldwide)
2010-01,30
2010-02,32
2010-03,19
2010-04,20
2010-05,15
2010-06,15
2010-07,42
2010-08,14
2010-09,26
2010-10,12
2010-11,24
2010-12,29
2011-01,17
2011-02,16
2011-03,28
2011-04,23
2011-05,21
2011-06,18
2011-07,25
2011-08,42
2011-09,20
2011-10,35
2011-11,32
2011-12,28
2012-01,44
2012-02,42
2012-03,34
2012-04,18
2012-05,25
2012-06,31
2012-07,36
2012-08,31
2012-09,28
2012-10,18
2012-11,23
2012-12,30
2013-01,21
2013-02,33
2013-03,20
2013-04,14
2013-05,36
2013-06,25
2013-07,27
2013-08,30
2013-09,26
2013-10,31
2013-11,30
2013-12,49
2014-01,25
2014-02,33
2014-03,25
2014-04,34
2014-05,26
2014-06,36
2014-07,29
2014-08,31
2014-09,34
2014-10,18
2014-11,14
2014-12,24
2015-01,23
2015-02,27
2015-03,7
2015-04,21
2015-05,17
2015-06,27
2015-07,39
2015-08,39
2015-09,27
2015-10,31
2015-11,28
2015-12,28
2016-01,40
2016-02,41
2016-03,44
2016-04,26
2016-05,29
2016-06,32
2016-07,33
2016-08,39
2016-09,27
2016-10,36
2016-11,43
2016-12,62
2017-01,49
2017-02,42
2017-03,53
2017-04,50
2017-05,17
2017-06,23
2017-07,21
2017-08,27
2017-09,38
2017-10,49
2017-11,60
2017-12,56
2018-01,47
2018-02,41
2018-03,43
2018-04,74
2018-05,20
2018-06,42
2018-07,70
2018-08,52
2018-09,25
2018-10,37
2018-11,67
2018-12,100
2019-01,41
2019-02,69
2019-03,76
2019-04,73
2019-05,45
2019-06,48
2019-07,63
2019-08,52
2019-09,52
2019-10,47
