Category: All categories

Month,Chimei Museum: (Worldwide)
2010-01,0
2010-02,20
2010-03,0
2010-04,0
2010-05,0
2010-06,19
2010-07,35
2010-08,0
2010-09,0
2010-10,0
2010-11,15
2010-12,31
2011-01,14
2011-02,15
2011-03,0
2011-04,14
2011-05,26
2011-06,34
2011-07,13
2011-08,13
2011-09,0
2011-10,12
2011-11,12
2011-12,23
2012-01,0
2012-02,11
2012-03,10
2012-04,11
2012-05,0
2012-06,16
2012-07,10
2012-08,10
2012-09,0
2012-10,9
2012-11,10
2012-12,9
2013-01,9
2013-02,9
2013-03,17
2013-04,0
2013-05,12
2013-06,9
2013-07,0
2013-08,0
2013-09,12
2013-10,16
2013-11,8
2013-12,16
2014-01,7
2014-02,8
2014-03,7
2014-04,11
2014-05,12
2014-06,8
2014-07,0
2014-08,8
2014-09,8
2014-10,15
2014-11,10
2014-12,15
2015-01,44
2015-02,30
2015-03,30
2015-04,26
2015-05,18
2015-06,17
2015-07,39
2015-08,30
2015-09,27
2015-10,27
2015-11,17
2015-12,28
2016-01,40
2016-02,49
2016-03,44
2016-04,25
2016-05,29
2016-06,25
2016-07,40
2016-08,22
2016-09,26
2016-10,25
2016-11,45
2016-12,44
2017-01,54
2017-02,42
2017-03,36
2017-04,30
2017-05,40
2017-06,54
2017-07,51
2017-08,29
2017-09,34
2017-10,55
2017-11,23
2017-12,60
2018-01,39
2018-02,49
2018-03,48
2018-04,30
2018-05,29
2018-06,46
2018-07,25
2018-08,48
2018-09,31
2018-10,100
2018-11,93
2018-12,50
2019-01,30
2019-02,73
2019-03,38
2019-04,47
2019-05,48
2019-06,25
2019-07,19
2019-08,36
2019-09,40
2019-10,39
