Category: All categories

Month,Eternal Spring Shrine: (Worldwide)
2010-01,100
2010-02,54
2010-03,0
2010-04,51
2010-05,50
2010-06,51
2010-07,0
2010-08,46
2010-09,0
2010-10,0
2010-11,41
2010-12,41
2011-01,0
2011-02,40
2011-03,35
2011-04,0
2011-05,36
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,32
2011-12,0
2012-01,44
2012-02,30
2012-03,28
2012-04,29
2012-05,0
2012-06,0
2012-07,42
2012-08,28
2012-09,28
2012-10,25
2012-11,0
2012-12,25
2013-01,23
2013-02,0
2013-03,34
2013-04,0
2013-05,22
2013-06,23
2013-07,0
2013-08,46
2013-09,22
2013-10,21
2013-11,43
2013-12,0
2014-01,0
2014-02,22
2014-03,39
2014-04,0
2014-05,0
2014-06,0
2014-07,33
2014-08,0
2014-09,21
2014-10,20
2014-11,21
2014-12,20
2015-01,38
2015-02,41
2015-03,19
2015-04,19
2015-05,37
2015-06,19
2015-07,28
2015-08,37
2015-09,18
2015-10,17
2015-11,53
2015-12,36
2016-01,24
2016-02,19
2016-03,18
2016-04,37
2016-05,36
2016-06,19
2016-07,19
2016-08,39
2016-09,19
2016-10,37
2016-11,18
2016-12,18
2017-01,17
2017-02,18
2017-03,16
2017-04,29
2017-05,17
2017-06,18
2017-07,48
2017-08,34
2017-09,26
2017-10,33
2017-11,39
2017-12,23
2018-01,37
2018-02,17
2018-03,15
2018-04,16
2018-05,47
2018-06,16
2018-07,16
2018-08,26
2018-09,0
2018-10,31
2018-11,0
2018-12,38
2019-01,15
2019-02,33
2019-03,15
2019-04,32
2019-05,15
2019-06,31
2019-07,15
2019-08,15
2019-09,30
2019-10,32
