Category: All categories

Month,Guandu Temple: (Worldwide)
2010-01,0
2010-02,53
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,41
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,37
2011-05,35
2011-06,36
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,32
2011-12,31
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,27
2012-09,0
2012-10,50
2012-11,51
2012-12,0
2013-01,0
2013-02,50
2013-03,23
2013-04,23
2013-05,0
2013-06,0
2013-07,0
2013-08,22
2013-09,22
2013-10,0
2013-11,21
2013-12,84
2014-01,39
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,42
2014-10,0
2014-11,61
2014-12,40
2015-01,19
2015-02,20
2015-03,18
2015-04,0
2015-05,37
2015-06,19
2015-07,37
2015-08,0
2015-09,18
2015-10,17
2015-11,17
2015-12,0
2016-01,18
2016-02,0
2016-03,0
2016-04,27
2016-05,35
2016-06,19
2016-07,19
2016-08,0
2016-09,19
2016-10,18
2016-11,45
2016-12,35
2017-01,25
2017-02,36
2017-03,40
2017-04,17
2017-05,25
2017-06,18
2017-07,0
2017-08,25
2017-09,34
2017-10,41
2017-11,41
2017-12,100
2018-01,39
2018-02,0
2018-03,61
2018-04,40
2018-05,62
2018-06,48
2018-07,23
2018-08,93
2018-09,31
2018-10,60
2018-11,16
2018-12,32
2019-01,30
2019-02,57
2019-03,45
2019-04,39
2019-05,37
2019-06,31
2019-07,45
2019-08,38
2019-09,15
2019-10,31
