Category: All categories

Month,Taipei 101: (Worldwide)
2010-01,100
2010-02,51
2010-03,56
2010-04,47
2010-05,50
2010-06,39
2010-07,36
2010-08,38
2010-09,46
2010-10,68
2010-11,41
2010-12,51
2011-01,49
2011-02,41
2011-03,51
2011-04,46
2011-05,49
2011-06,43
2011-07,41
2011-08,39
2011-09,44
2011-10,51
2011-11,50
2011-12,54
2012-01,52
2012-02,44
2012-03,47
2012-04,46
2012-05,46
2012-06,37
2012-07,36
2012-08,36
2012-09,42
2012-10,49
2012-11,45
2012-12,49
2013-01,46
2013-02,38
2013-03,43
2013-04,43
2013-05,42
2013-06,38
2013-07,38
2013-08,41
2013-09,39
2013-10,42
2013-11,46
2013-12,49
2014-01,48
2014-02,45
2014-03,43
2014-04,42
2014-05,41
2014-06,36
2014-07,37
2014-08,37
2014-09,39
2014-10,45
2014-11,44
2014-12,51
2015-01,46
2015-02,40
2015-03,43
2015-04,43
2015-05,41
2015-06,36
2015-07,36
2015-08,57
2015-09,43
2015-10,40
2015-11,42
2015-12,54
2016-01,46
2016-02,38
2016-03,42
2016-04,52
2016-05,43
2016-06,39
2016-07,40
2016-08,40
2016-09,44
2016-10,46
2016-11,45
2016-12,56
2017-01,46
2017-02,43
2017-03,47
2017-04,49
2017-05,43
2017-06,46
2017-07,43
2017-08,42
2017-09,42
2017-10,49
2017-11,52
2017-12,68
2018-01,53
2018-02,41
2018-03,49
2018-04,47
2018-05,43
2018-06,42
2018-07,40
2018-08,41
2018-09,45
2018-10,45
2018-11,49
2018-12,62
2019-01,46
2019-02,41
2019-03,49
2019-04,51
2019-05,49
2019-06,45
2019-07,43
2019-08,43
2019-09,46
2019-10,51
