Category: All categories

Month,Taipei Zoo: (Worldwide)
2010-01,14
2010-02,16
2010-03,22
2010-04,18
2010-05,12
2010-06,15
2010-07,24
2010-08,8
2010-09,13
2010-10,14
2010-11,18
2010-12,26
2011-01,13
2011-02,23
2011-03,20
2011-04,16
2011-05,23
2011-06,19
2011-07,14
2011-08,17
2011-09,14
2011-10,13
2011-11,24
2011-12,29
2012-01,14
2012-02,20
2012-03,20
2012-04,12
2012-05,22
2012-06,23
2012-07,17
2012-08,26
2012-09,22
2012-10,24
2012-11,16
2012-12,23
2013-01,25
2013-02,19
2013-03,21
2013-04,21
2013-05,22
2013-06,26
2013-07,44
2013-08,100
2013-09,64
2013-10,81
2013-11,69
2013-12,72
2014-01,78
2014-02,63
2014-03,61
2014-04,52
2014-05,44
2014-06,42
2014-07,45
2014-08,37
2014-09,35
2014-10,43
2014-11,33
2014-12,31
2015-01,33
2015-02,30
2015-03,34
2015-04,36
2015-05,39
2015-06,27
2015-07,32
2015-08,26
2015-09,27
2015-10,39
2015-11,32
2015-12,39
2016-01,28
2016-02,30
2016-03,33
2016-04,34
2016-05,33
2016-06,29
2016-07,31
2016-08,29
2016-09,37
2016-10,24
2016-11,32
2016-12,42
2017-01,34
2017-02,40
2017-03,36
2017-04,33
2017-05,39
2017-06,23
2017-07,36
2017-08,32
2017-09,29
2017-10,35
2017-11,42
2017-12,59
2018-01,41
2018-02,28
2018-03,42
2018-04,50
2018-05,41
2018-06,52
2018-07,47
2018-08,31
2018-09,34
2018-10,44
2018-11,46
2018-12,58
2019-01,41
2019-02,48
2019-03,45
2019-04,53
2019-05,44
2019-06,46
2019-07,47
2019-08,45
2019-09,37
2019-10,54
