Category: All categories

Month,Taiwan National Palace Museum: (Worldwide)
2010-01,55
2010-02,25
2010-03,96
2010-04,86
2010-05,92
2010-06,48
2010-07,44
2010-08,92
2010-09,61
2010-10,52
2010-11,32
2010-12,26
2011-01,47
2011-02,86
2011-03,44
2011-04,53
2011-05,100
2011-06,68
2011-07,45
2011-08,65
2011-09,78
2011-10,54
2011-11,30
2011-12,59
2012-01,59
2012-02,33
2012-03,70
2012-04,32
2012-05,56
2012-06,45
2012-07,48
2012-08,47
2012-09,30
2012-10,35
2012-11,44
2012-12,43
2013-01,54
2013-02,24
2013-03,46
2013-04,36
2013-05,45
2013-06,25
2013-07,43
2013-08,57
2013-09,27
2013-10,42
2013-11,46
2013-12,73
2014-01,24
2014-02,31
2014-03,42
2014-04,50
2014-05,57
2014-06,56
2014-07,51
2014-08,45
2014-09,33
2014-10,44
2014-11,32
2014-12,54
2015-01,29
2015-02,51
2015-03,20
2015-04,44
2015-05,67
2015-06,27
2015-07,49
2015-08,32
2015-09,31
2015-10,51
2015-11,47
2015-12,52
2016-01,42
2016-02,53
2016-03,19
2016-04,34
2016-05,42
2016-06,55
2016-07,57
2016-08,52
2016-09,53
2016-10,65
2016-11,45
2016-12,61
2017-01,60
2017-02,57
2017-03,45
2017-04,51
2017-05,56
2017-06,59
2017-07,42
2017-08,50
2017-09,40
2017-10,67
2017-11,62
2017-12,79
2018-01,71
2018-02,56
2018-03,43
2018-04,43
2018-05,54
2018-06,48
2018-07,41
2018-08,58
2018-09,47
2018-10,60
2018-11,76
2018-12,35
2019-01,47
2019-02,56
2019-03,69
2019-04,57
2019-05,70
2019-06,37
2019-07,43
2019-08,59
2019-09,28
2019-10,64
