Category: All categories

Month,Xingtian Temple: (Worldwide)
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,43
2010-09,0
2010-10,0
2010-11,0
2010-12,39
2011-01,71
2011-02,0
2011-03,34
2011-04,0
2011-05,100
2011-06,35
2011-07,34
2011-08,33
2011-09,32
2011-10,0
2011-11,60
2011-12,30
2012-01,83
2012-02,29
2012-03,0
2012-04,28
2012-05,26
2012-06,41
2012-07,0
2012-08,26
2012-09,26
2012-10,0
2012-11,36
2012-12,32
2013-01,22
2013-02,48
2013-03,42
2013-04,22
2013-05,32
2013-06,33
2013-07,43
2013-08,29
2013-09,72
2013-10,20
2013-11,27
2013-12,40
2014-01,37
2014-02,27
2014-03,43
2014-04,48
2014-05,29
2014-06,42
2014-07,28
2014-08,28
2014-09,33
2014-10,32
2014-11,29
2014-12,26
2015-01,30
2015-02,45
2015-03,24
2015-04,36
2015-05,53
2015-06,45
2015-07,27
2015-08,29
2015-09,60
2015-10,38
2015-11,33
2015-12,39
2016-01,46
2016-02,24
2016-03,75
2016-04,46
2016-05,34
2016-06,47
2016-07,24
2016-08,64
2016-09,48
2016-10,58
2016-11,34
2016-12,39
2017-01,32
2017-02,86
2017-03,36
2017-04,76
2017-05,32
2017-06,51
2017-07,62
2017-08,70
2017-09,33
2017-10,52
2017-11,58
2017-12,37
2018-01,60
2018-02,43
2018-03,44
2018-04,82
2018-05,74
2018-06,36
2018-07,30
2018-08,35
2018-09,70
2018-10,53
2018-11,45
2018-12,51
2019-01,63
2019-02,36
2019-03,57
2019-04,65
2019-05,62
2019-06,64
2019-07,43
2019-08,82
2019-09,52
2019-10,60
