Category: All categories

Month,beitou hot spring: (Worldwide)
2010-01,19
2010-02,13
2010-03,35
2010-04,16
2010-05,37
2010-06,35
2010-07,26
2010-08,17
2010-09,38
2010-10,36
2010-11,10
2010-12,20
2011-01,19
2011-02,20
2011-03,13
2011-04,21
2011-05,20
2011-06,25
2011-07,13
2011-08,19
2011-09,15
2011-10,26
2011-11,36
2011-12,31
2012-01,38
2012-02,47
2012-03,28
2012-04,20
2012-05,29
2012-06,21
2012-07,29
2012-08,38
2012-09,43
2012-10,47
2012-11,51
2012-12,54
2013-01,39
2013-02,38
2013-03,56
2013-04,45
2013-05,39
2013-06,34
2013-07,39
2013-08,54
2013-09,56
2013-10,61
2013-11,50
2013-12,86
2014-01,47
2014-02,70
2014-03,42
2014-04,40
2014-05,52
2014-06,47
2014-07,43
2014-08,42
2014-09,37
2014-10,73
2014-11,59
2014-12,87
2015-01,65
2015-02,41
2015-03,60
2015-04,40
2015-05,43
2015-06,38
2015-07,41
2015-08,49
2015-09,69
2015-10,82
2015-11,70
2015-12,91
2016-01,49
2016-02,52
2016-03,64
2016-04,56
2016-05,51
2016-06,52
2016-07,39
2016-08,46
2016-09,75
2016-10,69
2016-11,84
2016-12,96
2017-01,68
2017-02,80
2017-03,82
2017-04,69
2017-05,57
2017-06,53
2017-07,46
2017-08,40
2017-09,67
2017-10,94
2017-11,94
2017-12,100
2018-01,72
2018-02,56
2018-03,86
2018-04,53
2018-05,50
2018-06,45
2018-07,40
2018-08,44
2018-09,47
2018-10,70
2018-11,74
2018-12,82
2019-01,62
2019-02,52
2019-03,62
2019-04,72
2019-05,52
2019-06,50
2019-07,46
2019-08,53
2019-09,57
2019-10,78
