Category: All categories

Month,Damnoen Saduak Floating Market: (Worldwide)
2010-01,18
2010-02,27
2010-03,17
2010-04,24
2010-05,22
2010-06,16
2010-07,30
2010-08,22
2010-09,27
2010-10,8
2010-11,21
2010-12,28
2011-01,30
2011-02,22
2011-03,26
2011-04,27
2011-05,28
2011-06,36
2011-07,40
2011-08,38
2011-09,24
2011-10,18
2011-11,17
2011-12,16
2012-01,31
2012-02,28
2012-03,25
2012-04,23
2012-05,28
2012-06,33
2012-07,38
2012-08,39
2012-09,34
2012-10,49
2012-11,45
2012-12,50
2013-01,47
2013-02,42
2013-03,45
2013-04,47
2013-05,36
2013-06,44
2013-07,52
2013-08,51
2013-09,49
2013-10,53
2013-11,66
2013-12,45
2014-01,42
2014-02,40
2014-03,28
2014-04,36
2014-05,33
2014-06,24
2014-07,38
2014-08,39
2014-09,45
2014-10,48
2014-11,41
2014-12,55
2015-01,48
2015-02,48
2015-03,51
2015-04,41
2015-05,47
2015-06,47
2015-07,58
2015-08,53
2015-09,40
2015-10,43
2015-11,62
2015-12,51
2016-01,58
2016-02,55
2016-03,58
2016-04,45
2016-05,55
2016-06,47
2016-07,71
2016-08,56
2016-09,65
2016-10,57
2016-11,51
2016-12,56
2017-01,58
2017-02,55
2017-03,61
2017-04,59
2017-05,82
2017-06,63
2017-07,66
2017-08,72
2017-09,52
2017-10,83
2017-11,67
2017-12,84
2018-01,100
2018-02,74
2018-03,71
2018-04,68
2018-05,60
2018-06,64
2018-07,77
2018-08,77
2018-09,57
2018-10,60
2018-11,68
2018-12,76
2019-01,82
2019-02,74
2019-03,63
2019-04,49
2019-05,50
2019-06,65
2019-07,71
2019-08,66
2019-09,72
2019-10,59
