Category: All categories

Month,Mu Koh Angthong National Marine Park: (Worldwide)
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,82
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,55
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,45
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,39
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,37
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,36
2015-10,0
2015-11,35
2015-12,0
2016-01,0
2016-02,37
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,38
2016-08,38
2016-09,0
2016-10,0
2016-11,36
2016-12,0
2017-01,0
2017-02,0
2017-03,32
2017-04,0
2017-05,0
2017-06,0
2017-07,35
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,31
2018-06,32
2018-07,31
2018-08,62
2018-09,0
2018-10,40
2018-11,62
2018-12,0
2019-01,100
2019-02,54
2019-03,60
2019-04,47
2019-05,69
2019-06,61
2019-07,45
2019-08,45
2019-09,59
2019-10,61
