Category: All categories

Month,Pa Tong: (Worldwide)
2010-01,31
2010-02,32
2010-03,38
2010-04,30
2010-05,13
2010-06,24
2010-07,22
2010-08,34
2010-09,24
2010-10,42
2010-11,55
2010-12,100
2011-01,76
2011-02,61
2011-03,57
2011-04,64
2011-05,62
2011-06,59
2011-07,53
2011-08,49
2011-09,52
2011-10,40
2011-11,43
2011-12,47
2012-01,69
2012-02,67
2012-03,63
2012-04,61
2012-05,45
2012-06,48
2012-07,47
2012-08,52
2012-09,45
2012-10,65
2012-11,57
2012-12,58
2013-01,48
2013-02,48
2013-03,48
2013-04,46
2013-05,28
2013-06,40
2013-07,41
2013-08,35
2013-09,27
2013-10,45
2013-11,26
2013-12,19
2014-01,34
2014-02,19
2014-03,24
2014-04,35
2014-05,31
2014-06,23
2014-07,21
2014-08,28
2014-09,24
2014-10,33
2014-11,33
2014-12,41
2015-01,33
2015-02,36
2015-03,30
2015-04,21
2015-05,21
2015-06,28
2015-07,33
2015-08,21
2015-09,43
2015-10,25
2015-11,30
2015-12,36
2016-01,29
2016-02,28
2016-03,41
2016-04,32
2016-05,36
2016-06,30
2016-07,31
2016-08,34
2016-09,23
2016-10,13
2016-11,36
2016-12,32
2017-01,42
2017-02,35
2017-03,33
2017-04,26
2017-05,25
2017-06,28
2017-07,20
2017-08,32
2017-09,23
2017-10,37
2017-11,44
2017-12,34
2018-01,37
2018-02,40
2018-03,31
2018-04,32
2018-05,26
2018-06,24
2018-07,24
2018-08,24
2018-09,24
2018-10,31
2018-11,24
2018-12,31
2019-01,32
2019-02,28
2019-03,22
2019-04,40
2019-05,35
2019-06,37
2019-07,33
2019-08,38
2019-09,40
2019-10,43
