Category: All categories

Month,Phang Nga Bay: (Worldwide)
2010-01,33
2010-02,31
2010-03,40
2010-04,26
2010-05,27
2010-06,11
2010-07,20
2010-08,18
2010-09,33
2010-10,25
2010-11,34
2010-12,32
2011-01,46
2011-02,59
2011-03,44
2011-04,34
2011-05,41
2011-06,38
2011-07,58
2011-08,61
2011-09,50
2011-10,57
2011-11,51
2011-12,48
2012-01,75
2012-02,67
2012-03,53
2012-04,68
2012-05,46
2012-06,43
2012-07,53
2012-08,66
2012-09,55
2012-10,68
2012-11,65
2012-12,60
2013-01,87
2013-02,75
2013-03,78
2013-04,66
2013-05,53
2013-06,65
2013-07,64
2013-08,62
2013-09,57
2013-10,74
2013-11,75
2013-12,77
2014-01,71
2014-02,82
2014-03,62
2014-04,60
2014-05,48
2014-06,46
2014-07,53
2014-08,65
2014-09,70
2014-10,55
2014-11,66
2014-12,70
2015-01,87
2015-02,68
2015-03,50
2015-04,57
2015-05,51
2015-06,49
2015-07,60
2015-08,62
2015-09,54
2015-10,66
2015-11,74
2015-12,86
2016-01,89
2016-02,83
2016-03,72
2016-04,74
2016-05,67
2016-06,68
2016-07,71
2016-08,72
2016-09,67
2016-10,63
2016-11,73
2016-12,72
2017-01,90
2017-02,87
2017-03,78
2017-04,71
2017-05,72
2017-06,65
2017-07,71
2017-08,71
2017-09,74
2017-10,78
2017-11,81
2017-12,86
2018-01,96
2018-02,93
2018-03,85
2018-04,66
2018-05,57
2018-06,63
2018-07,73
2018-08,79
2018-09,69
2018-10,71
2018-11,96
2018-12,95
2019-01,92
2019-02,81
2019-03,100
2019-04,66
2019-05,66
2019-06,60
2019-07,64
2019-08,74
2019-09,68
2019-10,66
