Category: All categories

Month,Similan Islands: (Worldwide)
2010-01,69
2010-02,67
2010-03,62
2010-04,45
2010-05,18
2010-06,17
2010-07,26
2010-08,34
2010-09,45
2010-10,45
2010-11,50
2010-12,43
2011-01,62
2011-02,58
2011-03,40
2011-04,32
2011-05,25
2011-06,18
2011-07,22
2011-08,42
2011-09,35
2011-10,38
2011-11,53
2011-12,58
2012-01,73
2012-02,47
2012-03,53
2012-04,43
2012-05,23
2012-06,25
2012-07,30
2012-08,45
2012-09,39
2012-10,50
2012-11,61
2012-12,61
2013-01,80
2013-02,72
2013-03,68
2013-04,45
2013-05,33
2013-06,29
2013-07,33
2013-08,39
2013-09,40
2013-10,53
2013-11,83
2013-12,58
2014-01,95
2014-02,76
2014-03,63
2014-04,57
2014-05,31
2014-06,20
2014-07,28
2014-08,43
2014-09,40
2014-10,50
2014-11,71
2014-12,82
2015-01,88
2015-02,73
2015-03,69
2015-04,59
2015-05,32
2015-06,36
2015-07,36
2015-08,36
2015-09,41
2015-10,57
2015-11,70
2015-12,76
2016-01,89
2016-02,81
2016-03,73
2016-04,54
2016-05,43
2016-06,26
2016-07,36
2016-08,39
2016-09,58
2016-10,59
2016-11,69
2016-12,78
2017-01,87
2017-02,76
2017-03,68
2017-04,53
2017-05,42
2017-06,31
2017-07,42
2017-08,36
2017-09,39
2017-10,58
2017-11,87
2017-12,83
2018-01,100
2018-02,77
2018-03,67
2018-04,52
2018-05,36
2018-06,35
2018-07,36
2018-08,39
2018-09,43
2018-10,57
2018-11,65
2018-12,63
2019-01,77
2019-02,67
2019-03,67
2019-04,51
2019-05,40
2019-06,33
2019-07,42
2019-08,41
2019-09,49
2019-10,47
