Category: All categories

Month,Wat Phra Chetuphon: (Worldwide)
2010-01,57
2010-02,60
2010-03,54
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,52
2010-09,100
2010-10,0
2010-11,46
2010-12,94
2011-01,43
2011-02,0
2011-03,40
2011-04,0
2011-05,0
2011-06,82
2011-07,41
2011-08,39
2011-09,38
2011-10,0
2011-11,36
2011-12,54
2012-01,50
2012-02,51
2012-03,32
2012-04,33
2012-05,63
2012-06,32
2012-07,32
2012-08,63
2012-09,32
2012-10,29
2012-11,58
2012-12,29
2013-01,52
2013-02,29
2013-03,26
2013-04,26
2013-05,0
2013-06,26
2013-07,26
2013-08,26
2013-09,38
2013-10,24
2013-11,25
2013-12,49
2014-01,45
2014-02,25
2014-03,0
2014-04,0
2014-05,23
2014-06,0
2014-07,38
2014-08,74
2014-09,24
2014-10,47
2014-11,0
2014-12,23
2015-01,22
2015-02,47
2015-03,21
2015-04,32
2015-05,21
2015-06,0
2015-07,32
2015-08,21
2015-09,41
2015-10,29
2015-11,20
2015-12,71
2016-01,21
2016-02,43
2016-03,20
2016-04,31
2016-05,21
2016-06,32
2016-07,22
2016-08,22
2016-09,22
2016-10,41
2016-11,31
2016-12,20
2017-01,19
2017-02,21
2017-03,46
2017-04,30
2017-05,29
2017-06,41
2017-07,20
2017-08,19
2017-09,0
2017-10,28
2017-11,32
2017-12,0
2018-01,36
2018-02,78
2018-03,35
2018-04,43
2018-05,63
2018-06,37
2018-07,36
2018-08,53
2018-09,54
2018-10,52
2018-11,71
2018-12,37
2019-01,87
2019-02,62
2019-03,23
2019-04,54
2019-05,23
2019-06,30
2019-07,29
2019-08,46
2019-09,28
2019-10,36
